label	cutoff	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	dataset	ref	region	seed	method	printref	tool
0.03	0.03	42664100	34195800000	6073600	12681400	0.770869	0.999822	0.875382	0.999629	0.875382	0.999453	0.821196	0.819808	760.4082	00:12:40	5185.76	5330.47	5183.21	5183.66	0	4.59	0	human	NA	NA	19	de_novo	NA	mothur
0.03	0.03	41872900	34196500000	5375100	13472600	0.756573	0.999843	0.886237	0.999606	0.886237	0.99945	0.818575	0.816288	768.077	00:12:48	5185.76	5330.47	5183.24	5183.54	2301.84	4.59	0	human	NA	NA	20	de_novo	NA	mothur
0.03	0.03	42676900	34195800000	6067050	12668600	0.7711	0.999823	0.875532	0.99963	0.875532	0.999453	0.82139	0.820004	1106.184	00:18:26	5185.76	5330.47	5183.27	5183.76	2288.81	4.61	0	human	NA	NA	21	de_novo	NA	mothur
0.03	0.03	42717600	34195700000	6116400	12627800	0.771836	0.999821	0.874751	0.999631	0.874751	0.999453	0.821415	0.820077	772.2186	00:12:52	5185.76	5330.47	5182.09	5182.93	2288.81	4.59	0	human	NA	NA	22	de_novo	NA	mothur
0.03	0.03	42656700	34195800000	6059380	12688800	0.770734	0.999823	0.875618	0.999629	0.875618	0.999453	0.821236	0.819835	756.3545	00:12:36	5185.75	5330.47	5183.29	5183.59	2288.81	4.59	0	human	NA	NA	23	de_novo	NA	mothur
0.03	0.03	42681300	34195800000	6070180	12664200	0.77118	0.999823	0.875487	0.99963	0.875487	0.999453	0.821412	0.82003	881.038	00:14:41	5185.76	5330.47	5183.3	5183.65	0	4.6	0	human	NA	NA	24	de_novo	NA	mothur
0.03	0.03	41865200	34196500000	5361990	13480300	0.756434	0.999843	0.886464	0.999606	0.886464	0.99945	0.818605	0.816303	757.6102	00:12:37	5185.76	5330.47	5182.09	5182.91	2295.14	4.59	0	human	NA	NA	25	de_novo	NA	mothur
0.03	0.03	42625000	34195800000	6045540	12720500	0.770162	0.999823	0.875786	0.999628	0.875786	0.999452	0.821009	0.819585	786.7313	00:13:06	5185.76	5330.47	5183.34	5183.91	2297.29	4.59	0	human	NA	NA	26	de_novo	NA	mothur
0.03	0.03	42656000	34195800000	6044030	12689400	0.770723	0.999823	0.875893	0.999629	0.875893	0.999453	0.821359	0.819949	907.8981	00:15:07	5185.76	5330.47	5183.27	5183.65	0	4.6	0	human	NA	NA	27	de_novo	NA	mothur
0.03	0.03	41824900	34196600000	5273910	13520600	0.755705	0.999846	0.888024	0.999605	0.888024	0.999451	0.818932	0.816539	856.7062	00:14:16	5185.76	5330.47	5183.24	5183.56	2296.42	4.61	0	human	NA	NA	28	de_novo	NA	mothur
0.03	0.03	42632800	34195800000	6015160	12712700	0.770303	0.999824	0.876353	0.999628	0.876353	0.999453	0.821351	0.819913	832.3178	00:13:52	5185.75	5330.47	5182.08	5183.03	2294.98	4.59	0	human	NA	NA	29	de_novo	NA	mothur
0.03	0.03	42647700	34195800000	6033980	12697800	0.770572	0.999824	0.876052	0.999629	0.876052	0.999453	0.821353	0.819934	761.3378	00:12:41	5185.76	5330.47	5183.33	5183.79	2288.81	4.59	0	human	NA	NA	30	de_novo	NA	mothur
0.03	0.03	42598700	34195900000	5977030	12746800	0.769687	0.999825	0.876954	0.999627	0.876954	0.999453	0.821304	0.819827	756.0571	00:12:36	5185.76	5330.47	5183.29	5183.64	2301.84	4.59	0	human	NA	NA	31	de_novo	NA	mothur
0.03	0.03	42618600	34195800000	6004670	12726900	0.770047	0.999824	0.876506	0.999628	0.876506	0.999453	0.821286	0.819835	755.5476	00:12:35	5185.75	5330.47	5183.29	5183.65	0	4.59	0	human	NA	NA	32	de_novo	NA	mothur
0.03	0.03	42593100	34195800000	6060700	12752400	0.769586	0.999823	0.875432	0.999627	0.875432	0.999451	0.820536	0.819104	785.7116	00:13:05	5185.76	5330.47	5182.01	5182.99	12.57	4.59	0	human	NA	NA	33	de_novo	NA	mothur
0.03	0.03	42685300	34195700000	6093940	12660200	0.771252	0.999822	0.875071	0.99963	0.875071	0.999453	0.821255	0.819888	753.1392	00:12:33	5185.75	5330.47	5183.29	5183.54	2288.81	4.59	0	human	NA	NA	34	de_novo	NA	mothur
0.03	0.03	41832300	34196500000	5298780	13513200	0.755839	0.999845	0.887573	0.999605	0.887573	0.999451	0.818796	0.816426	841.2892	00:14:01	5185.76	5330.47	5183.28	5183.56	0	4.61	0	human	NA	NA	35	de_novo	NA	mothur
0.03	0.03	42678800	34195800000	6071080	12666700	0.771134	0.999822	0.875465	0.99963	0.875465	0.999453	0.821376	0.819994	855.257	00:14:15	5185.76	5330.47	5183.28	5183.51	2288.81	4.59	0	human	NA	NA	36	de_novo	NA	mothur
0.03	0.03	42652400	34195800000	6044030	12693100	0.770658	0.999823	0.875884	0.999629	0.875884	0.999453	0.821319	0.819908	846.7962	00:14:06	5185.76	5330.47	5183.29	5183.57	2301.84	4.6	0	human	NA	NA	37	de_novo	NA	mothur
0.03	0.03	42616900	34195900000	5984630	12728600	0.770015	0.999825	0.876863	0.999628	0.876863	0.999454	0.821437	0.819973	945.9565	00:15:45	5185.76	5330.47	5183.29	5183.64	2297.77	4.61	0	human	NA	NA	38	de_novo	NA	mothur
0.03	0.03	42704300	34195700000	6105640	12641200	0.771594	0.999821	0.87491	0.99963	0.87491	0.999453	0.821361	0.820011	759.909	00:12:39	5185.76	5330.47	5182.01	5182.94	0	4.59	0	human	NA	NA	39	de_novo	NA	mothur
0.03	0.03	42628400	34195800000	6011900	12717100	0.770223	0.999824	0.876401	0.999628	0.876401	0.999453	0.821331	0.819889	853.0367	00:14:13	5185.76	5330.47	5182.08	5182.67	2296.34	4.6	0	human	NA	NA	40	de_novo	NA	mothur
0.03	0.03	42690000	34195700000	6092700	12655500	0.771337	0.999822	0.875105	0.99963	0.875105	0.999453	0.821316	0.819951	822.0589	00:13:42	5185.75	5330.47	5182.08	5182.9	2288.81	4.59	0	human	NA	NA	41	de_novo	NA	mothur
0.03	0.03	42604400	34195900000	5985490	12741100	0.76979	0.999825	0.876816	0.999628	0.876816	0.999453	0.821294	0.819825	832.8183	00:13:52	5185.76	5330.47	5183.23	5183.45	2288.81	4.59	0	human	NA	NA	42	de_novo	NA	mothur
0.03	0.03	42570700	34195900000	5938730	12774800	0.76918	0.999826	0.877576	0.999627	0.877576	0.999454	0.821325	0.81981	838.3235	00:13:58	5185.76	5330.47	5182.01	5182.58	5.55	4.59	0	human	NA	NA	43	de_novo	NA	mothur
0.03	0.03	42696300	34195700000	6098140	12649200	0.77145	0.999822	0.875024	0.99963	0.875024	0.999453	0.821338	0.819979	793.4758	00:13:13	5185.76	5330.47	5182.01	5182.83	5.62	4.59	0	human	NA	NA	44	de_novo	NA	mothur
0.03	0.03	42490200	34195900000	5948220	12855200	0.767727	0.999826	0.877201	0.999624	0.877201	0.999451	0.820372	0.818821	938.3773	00:15:38	5185.75	5330.47	5183.27	5183.77	9.41	4.6	0	human	NA	NA	45	de_novo	NA	mothur
0.03	0.03	42688700	34195800000	6082470	12656800	0.771314	0.999822	0.875286	0.99963	0.875286	0.999453	0.821388	0.820017	748.6129	00:12:28	5185.76	5330.47	5183.3	5183.66	2288.81	4.59	0	human	NA	NA	46	de_novo	NA	mothur
0.03	0.03	41821100	34196600000	5278940	13524400	0.755637	0.999846	0.887921	0.999605	0.887921	0.999451	0.818847	0.816455	832.6388	00:13:52	5185.75	5330.47	5182	5182.97	2283.48	4.59	0	human	NA	NA	47	de_novo	NA	mothur
0.03	0.03	41812600	34196600000	5264300	13532900	0.755483	0.999846	0.888176	0.999604	0.888176	0.999451	0.818881	0.816473	762.2047	00:12:42	5185.76	5330.47	5183.3	5183.66	2288.81	4.59	0	human	NA	NA	48	de_novo	NA	mothur
0.03	0.03	42626300	34195800000	6012070	12719100	0.770186	0.999824	0.876392	0.999628	0.876392	0.999453	0.821307	0.819864	768.8137	00:12:48	5185.76	5330.47	5183.23	5183.62	2288.81	4.59	0	human	NA	NA	49	de_novo	NA	mothur
0.03	0.03	42685500	34195800000	6082040	12660000	0.771255	0.999822	0.875285	0.99963	0.875285	0.999453	0.821357	0.819984	755.2271	00:12:35	5185.76	5330.47	5182.02	5182.81	2283.53	4.59	0	human	NA	NA	50	de_novo	NA	mothur
0.03	0.03	42633500	34195800000	6009300	12712000	0.770316	0.999824	0.876461	0.999628	0.876461	0.999454	0.821408	0.819968	840.2088	00:14:00	5185.75	5330.47	5182	5182.86	2193.44	4.6	0	human	NA	NA	51	de_novo	NA	mothur
0.03	0.03	42610600	34195800000	5993220	12734900	0.769903	0.999825	0.876692	0.999628	0.876692	0.999453	0.821296	0.819835	748.2358	00:12:28	5185.76	5330.47	5183.34	5183.8	2295.76	4.59	0	human	NA	NA	52	de_novo	NA	mothur
0.03	0.03	42659400	34195800000	6043860	12686100	0.770784	0.999823	0.875904	0.999629	0.875904	0.999453	0.821397	0.819989	756.1326	00:12:36	5185.76	5330.47	5182.08	5183.02	2288.98	4.59	0	human	NA	NA	53	de_novo	NA	mothur
0.03	0.03	41839600	34196600000	5287820	13505900	0.755971	0.999845	0.887797	0.999605	0.887797	0.999451	0.818971	0.816598	872.7818	00:14:32	5185.76	5330.47	5183.3	5183.65	2300.38	4.59	0	human	NA	NA	54	de_novo	NA	mothur
0.03	0.03	41810800	34196600000	5264530	13534700	0.75545	0.999846	0.888168	0.999604	0.888168	0.999451	0.81886	0.816451	977.7591	00:16:17	5185.76	5330.47	5183.3	5183.66	2288.81	4.59	0	human	NA	NA	55	de_novo	NA	mothur
0.03	0.03	42675200	34195800000	6070350	12670300	0.771069	0.999823	0.875469	0.99963	0.875469	0.999453	0.821344	0.819959	817.9917	00:13:37	5185.76	5330.47	5183.3	5183.65	0	4.59	0	human	NA	NA	56	de_novo	NA	mothur
0.03	0.03	42680200	34195800000	6079770	12665300	0.77116	0.999822	0.875312	0.99963	0.875312	0.999453	0.821319	0.819942	799.5255	00:13:19	5185.76	5330.47	5183.22	5183.41	2301.84	4.59	0	human	NA	NA	57	de_novo	NA	mothur
0.03	0.03	42655300	34195800000	6043140	12690200	0.770709	0.999823	0.875907	0.999629	0.875907	0.999453	0.821358	0.819948	882.109	00:14:42	5185.77	5330.47	5182.02	5182.73	0	4.6	0	human	NA	NA	58	de_novo	NA	mothur
0.03	0.03	42608200	34195900000	5984700	12737300	0.769858	0.999825	0.87684	0.999628	0.87684	0.999453	0.821342	0.819874	857.9729	00:14:17	5185.75	5330.47	5183.29	5183.65	0	4.6	0	human	NA	NA	59	de_novo	NA	mothur
0.03	0.03	42561000	34195900000	5929620	12784500	0.769006	0.999827	0.877716	0.999626	0.877716	0.999454	0.821297	0.819773	809.9657	00:13:29	5185.76	5330.47	5182.09	5182.94	2290.69	4.59	0	human	NA	NA	60	de_novo	NA	mothur
0.03	0.03	42621000	34195800000	6004960	12724500	0.770089	0.999824	0.876507	0.999628	0.876507	0.999453	0.821309	0.819859	759.2588	00:12:39	5185.76	5330.47	5183.23	5183.49	0	4.59	0	human	NA	NA	61	de_novo	NA	mothur
0.03	0.03	42585100	34195900000	5969440	12760400	0.769442	0.999825	0.877057	0.999627	0.877057	0.999453	0.821221	0.819733	755.5575	00:12:35	5185.76	5330.47	5183.28	5183.48	2301.84	4.59	0	human	NA	NA	62	de_novo	NA	mothur
0.03	0.03	42672000	34195800000	6069550	12673400	0.771012	0.999823	0.875475	0.99963	0.875475	0.999453	0.821317	0.81993	917.0724	00:15:17	5185.79	5330.47	5183.27	5183.51	0	4.6	0	human	NA	NA	63	de_novo	NA	mothur
0.03	0.03	42687200	34195700000	6094820	12658300	0.771287	0.999822	0.87506	0.99963	0.87506	0.999453	0.821268	0.819903	783.8937	00:13:03	5185.76	5330.47	5182.01	5182.8	11.61	4.59	0	human	NA	NA	64	de_novo	NA	mothur
0.03	0.03	42690600	34195700000	6093250	12654800	0.771348	0.999822	0.875097	0.99963	0.875097	0.999453	0.821318	0.819954	995.1564	00:16:35	5185.76	5330.47	5183.14	5183.32	2292.54	4.59	0	human	NA	NA	65	de_novo	NA	mothur
0.03	0.03	42688200	34195800000	6089420	12657200	0.771305	0.999822	0.87516	0.99963	0.87516	0.999453	0.821324	0.819957	791.1881	00:13:11	5185.76	5330.47	5182.09	5182.91	2297.46	4.59	0	human	NA	NA	66	de_novo	NA	mothur
0.03	0.03	42661700	34195800000	6071920	12683800	0.770826	0.999822	0.875406	0.999629	0.875406	0.999453	0.821185	0.819794	756.6943	00:12:36	5185.76	5330.47	5182.01	5182.63	0	4.59	0	human	NA	NA	67	de_novo	NA	mothur
0.03	0.03	42648900	34195800000	6045690	12696600	0.770594	0.999823	0.875845	0.999629	0.875845	0.999453	0.821267	0.819855	760.7018	00:12:40	5185.76	5330.47	5182.09	5183	2288.81	4.59	0	human	NA	NA	68	de_novo	NA	mothur
0.03	0.03	42606000	34195900000	5985660	12739500	0.769819	0.999825	0.876817	0.999628	0.876817	0.999453	0.82131	0.819842	757.9861	00:12:37	5185.76	5330.47	5183.3	5183.66	0	4.59	0	human	NA	NA	69	de_novo	NA	mothur
0.03	0.03	42510600	34195900000	5966630	12834900	0.768094	0.999826	0.876919	0.999625	0.876919	0.999451	0.820436	0.818907	854.4051	00:14:14	5185.75	5330.47	5183.22	5183.37	2301.55	4.6	0	human	NA	NA	70	de_novo	NA	mothur
0.03	0.03	42708900	34195700000	6106400	12636500	0.771679	0.999821	0.874908	0.999631	0.874908	0.999453	0.821405	0.820058	988.1436	00:16:28	5185.76	5330.47	5183.29	5183.65	0	4.59	0	human	NA	NA	71	de_novo	NA	mothur
0.03	0.03	41819400	34196600000	5288480	13526000	0.755607	0.999845	0.887737	0.999605	0.887737	0.999451	0.818746	0.81636	760.5731	00:12:40	5185.76	5330.47	5183.29	5183.64	2295.65	4.59	0	human	NA	NA	72	de_novo	NA	mothur
0.03	0.03	42646300	34195800000	6029160	12699200	0.770546	0.999824	0.876135	0.999629	0.876135	0.999453	0.821378	0.819955	865.9664	00:14:25	5185.76	5330.47	5183.27	5183.65	2294.58	4.6	0	human	NA	NA	73	de_novo	NA	mothur
0.03	0.03	42678000	34195800000	6070620	12667500	0.771119	0.999823	0.875471	0.99963	0.875471	0.999453	0.821372	0.819988	824.1894	00:13:44	5185.75	5330.47	5182	5182.57	2.18	4.59	0	human	NA	NA	74	de_novo	NA	mothur
0.03	0.03	42650000	34195800000	6038500	12695500	0.770614	0.999823	0.875977	0.999629	0.875977	0.999453	0.82134	0.819924	767.2465	00:12:47	5185.79	5330.47	5182.09	5182.94	2288.81	4.59	0	human	NA	NA	75	de_novo	NA	mothur
0.03	0.03	42685400	34195800000	6081340	12660100	0.771254	0.999822	0.875298	0.99963	0.875298	0.999453	0.821362	0.819988	801.0603	00:13:21	5185.75	5330.47	5182	5182.86	96.62	4.59	0	human	NA	NA	76	de_novo	NA	mothur
0.03	0.03	41761100	34196600000	5222300	13584400	0.754552	0.999847	0.888848	0.999603	0.888848	0.999451	0.818686	0.816213	926.575	00:15:26	5185.75	5330.47	5182.08	5182.94	2292.97	4.61	0	human	NA	NA	77	de_novo	NA	mothur
0.03	0.03	42713600	34195700000	6111700	12631900	0.771762	0.999821	0.874825	0.999631	0.874825	0.999453	0.821411	0.820068	880.8876	00:14:40	5185.76	5330.47	5183.19	5183.59	2288.81	4.6	0	human	NA	NA	78	de_novo	NA	mothur
0.03	0.03	42636100	34195800000	6031020	12709300	0.770364	0.999824	0.876076	0.999628	0.876076	0.999453	0.821253	0.819826	773.2182	00:12:53	5185.75	5330.47	5183.23	5183.57	2288.81	4.59	0	human	NA	NA	79	de_novo	NA	mothur
0.03	0.03	42666000	34195800000	6055140	12679500	0.770903	0.999823	0.875718	0.999629	0.875718	0.999453	0.821373	0.819974	766.8753	00:12:46	5185.76	5330.47	5183.27	5183.76	0	4.59	0	human	NA	NA	80	de_novo	NA	mothur
0.03	0.03	41768600	34196600000	5230010	13576900	0.754688	0.999847	0.88872	0.999603	0.88872	0.999451	0.818701	0.816239	794.9498	00:13:14	5185.76	5330.47	5183.34	5183.88	0	4.59	0	human	NA	NA	81	de_novo	NA	mothur
0.03	0.03	42596900	34195900000	5971430	12748600	0.769655	0.999825	0.877051	0.999627	0.877051	0.999454	0.821332	0.819851	765.5954	00:12:45	5185.76	5330.47	5183.29	5183.56	2288.81	4.59	0	human	NA	NA	82	de_novo	NA	mothur
0.03	0.03	41842400	34196500000	5302470	13503100	0.756021	0.999845	0.887528	0.999605	0.887528	0.999451	0.818874	0.816513	753.9228	00:12:33	5185.76	5330.47	5183.34	5183.92	2288.81	4.59	0	human	NA	NA	83	de_novo	NA	mothur
0.03	0.03	42679400	34195800000	6069210	12666100	0.771145	0.999823	0.8755	0.99963	0.8755	0.999453	0.821399	0.820016	765.8538	00:12:45	5185.76	5330.47	5183.32	5183.8	2292.84	4.59	0	human	NA	NA	84	de_novo	NA	mothur
0.03	0.03	41908400	34196400000	5401790	13437100	0.757215	0.999842	0.885822	0.999607	0.885822	0.99945	0.818731	0.816485	761.8086	00:12:41	5185.75	5330.47	5183.29	5183.65	2293.53	4.59	0	human	NA	NA	85	de_novo	NA	mothur
0.03	0.03	42698200	34195700000	6093190	12647300	0.771485	0.999822	0.875118	0.99963	0.875118	0.999453	0.8214	0.82004	891.4639	00:14:51	5185.76	5330.47	5183.24	5183.64	0	4.59	0	human	NA	NA	86	de_novo	NA	mothur
0.03	0.03	42658000	34195800000	6050680	12687500	0.770759	0.999823	0.875778	0.999629	0.875778	0.999453	0.821324	0.819919	802.3005	00:13:22	5185.76	5330.47	5182.09	5182.93	2293.76	4.59	0	human	NA	NA	87	de_novo	NA	mothur
0.03	0.03	42710100	34195700000	6105110	12635300	0.771701	0.999821	0.874934	0.999631	0.874934	0.999453	0.821429	0.820081	776.4317	00:12:56	5185.76	5330.47	5183.27	5183.68	2292.19	4.59	0	human	NA	NA	88	de_novo	NA	mothur
0.03	0.03	42648000	34195800000	6041510	12697500	0.770578	0.999823	0.875918	0.999629	0.875918	0.999453	0.821293	0.819878	777.2291	00:12:57	5185.76	5330.47	5183.23	5183.55	2291.23	4.59	0	human	NA	NA	89	de_novo	NA	mothur
0.03	0.03	42691200	34195800000	6086290	12654200	0.771359	0.999822	0.875223	0.99963	0.875223	0.999453	0.821383	0.820015	822.1414	00:13:42	5185.76	5330.47	5182.01	5182.92	2286.37	4.59	0	human	NA	NA	90	de_novo	NA	mothur
0.03	0.03	42680800	34195800000	6071190	12664700	0.77117	0.999822	0.875468	0.99963	0.875468	0.999453	0.821397	0.820016	869.4059	00:14:29	5185.76	5330.47	5182.01	5182.81	2293.96	4.6	0	human	NA	NA	91	de_novo	NA	mothur
0.03	0.03	42659400	34195800000	6050830	12686100	0.770784	0.999823	0.875779	0.999629	0.875779	0.999453	0.821338	0.819934	754.8645	00:12:34	5185.76	5330.47	5182.01	5182.74	0	4.59	0	human	NA	NA	92	de_novo	NA	mothur
0.03	0.03	42630100	34195800000	6047640	12715400	0.770255	0.999823	0.875762	0.999628	0.875762	0.999452	0.821047	0.819627	757.0924	00:12:37	5185.75	5330.47	5182.08	5182.9	2288.81	4.59	0	human	NA	NA	93	de_novo	NA	mothur
0.03	0.03	42621800	34195800000	6000560	12723700	0.770105	0.999825	0.876589	0.999628	0.876589	0.999453	0.821355	0.819904	754.2941	00:12:34	5185.75	5330.47	5183.28	5183.48	2301.84	4.59	0	human	NA	NA	94	de_novo	NA	mothur
0.03	0.03	42678700	34195800000	6068670	12666800	0.771133	0.999823	0.875508	0.99963	0.875508	0.999453	0.821396	0.820012	866.7858	00:14:26	5185.76	5330.47	5183.29	5183.64	2301.84	4.6	0	human	NA	NA	95	de_novo	NA	mothur
0.03	0.03	42552900	34195900000	5931710	12792600	0.768859	0.999827	0.877658	0.999626	0.877658	0.999453	0.821192	0.819664	916.111	00:15:16	5185.75	5330.47	5182.08	5182.85	2292.39	4.6	0	human	NA	NA	96	de_novo	NA	mothur
0.03	0.03	42693100	34195700000	6098540	12652400	0.771392	0.999822	0.875009	0.99963	0.875009	0.999453	0.8213	0.81994	942.3256	00:15:42	5185.76	5330.47	5183.3	5183.66	2288.81	4.59	0	human	NA	NA	97	de_novo	NA	mothur
0.03	0.03	42455100	34195900000	5903960	12890400	0.767093	0.999827	0.877914	0.999623	0.877914	0.999451	0.820366	0.81877	1035.3719	00:17:15	5185.76	5330.47	5183.3	5183.66	0	4.62	0	human	NA	NA	98	de_novo	NA	mothur
0.03	0.03	42630000	34195800000	6006040	12715500	0.770252	0.999824	0.876511	0.999628	0.876511	0.999454	0.821398	0.819953	901.97	00:15:01	5185.76	5330.47	5183.19	5183.61	0	4.6	0	human	NA	NA	99	de_novo	NA	mothur
0.03	0.03	41912100	34196400000	5407000	13433400	0.757281	0.999842	0.885733	0.999607	0.885733	0.99945	0.818726	0.816486	785.0903	00:13:05	5185.75	5330.47	5182	5182.86	1670.31	4.59	0	human	NA	NA	100	de_novo	NA	mothur
0.03	0.03	17409000	13318400000	3262560	3071530	0.850027	0.999755	0.842171	0.999769	0.842171	0.999525	0.845852	0.846081	240.4495	00:04:00	1948.44	2090.5	1944.7	1945.55	2.2	0.05	0	marine	NA	NA	1	de_novo	NA	mothur
0.03	0.03	17428100	13318400000	3282650	3052440	0.850959	0.999754	0.8415	0.999771	0.8415	0.999525	0.845978	0.846203	240.1207	00:04:00	1948.44	2090.5	1945.97	1946.16	866.5	0.05	0	marine	NA	NA	2	de_novo	NA	mothur
0.03	0.03	17429300	13318400000	3283740	3051180	0.85102	0.999754	0.841465	0.999771	0.841465	0.999525	0.845991	0.846216	239.7972	00:03:59	1948.45	2090.5	1945.84	1946.12	879.25	0.04	0	marine	NA	NA	3	de_novo	NA	mothur
0.03	0.03	17416700	13318400000	3268750	3063800	0.850404	0.999755	0.841978	0.99977	0.841978	0.999525	0.845943	0.84617	262.4899	00:04:22	1948.48	2090.5	1944.7	1945.3	3.37	3.23	0	marine	NA	NA	4	de_novo	NA	mothur
0.03	0.03	17427800	13318400000	3282720	3052720	0.850945	0.999754	0.841495	0.999771	0.841495	0.999525	0.845969	0.846194	244.2905	00:04:04	1948.44	2090.5	1945.97	1946.25	866.5	0.05	0	marine	NA	NA	5	de_novo	NA	mothur
0.03	0.03	17416600	13318400000	3265780	3063950	0.850397	0.999755	0.842098	0.99977	0.842098	0.999526	0.846	0.846227	241.4402	00:04:01	1948.45	2090.5	1944.78	1945.52	0	0.07	0	marine	NA	NA	6	de_novo	NA	mothur
0.03	0.03	17413300	13318400000	3268050	3067240	0.850236	0.999755	0.84198	0.99977	0.84198	0.999525	0.84586	0.846088	333.394	00:05:33	1948.45	2090.5	1945.98	1946.33	879.53	0.06	0	marine	NA	NA	7	de_novo	NA	mothur
