iter	label	cutoff	numotus	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	dataset	ref	region	seed	method	printref
1	0.03	0.03	52347	43434300	53034400000	5957080	14587300	0.7486	0.9999	0.8794	0.9997	0.8794	0.9996	0.8112	0.8087	human	gg	bact_v4	7	open	FALSE
1	0.03	0.03	24895	41800900	20879200000	5501210	7471440	0.8484	0.9997	0.8837	0.9996	0.8837	0.9994	0.8655	0.8657	human	gg	bact_v4	7	closed	FALSE
1	0.03	0.03	52267	43425800	53034400000	5941340	14595900	0.7484	0.9999	0.8796	0.9997	0.8796	0.9996	0.8112	0.8088	human	gg	bact_v4	8	open	FALSE
1	0.03	0.03	24895	41793800	20893300000	5472890	7351190	0.8504	0.9997	0.8842	0.9996	0.8842	0.9994	0.8668	0.867	human	gg	bact_v4	8	closed	FALSE
1	0.03	0.03	52335	43804200	53034000000	6380880	14217400	0.755	0.9999	0.8729	0.9997	0.8729	0.9996	0.8116	0.8096	human	gg	bact_v4	9	open	FALSE
1	0.03	0.03	24878	42180000	20933400000	5927630	7138430	0.8553	0.9997	0.8768	0.9997	0.8768	0.9994	0.8656	0.8659	human	gg	bact_v4	9	closed	FALSE
1	0.03	0.03	52319	43544400	53034400000	5944880	14477200	0.7505	0.9999	0.8799	0.9997	0.8799	0.9996	0.8124	0.81	human	gg	bact_v4	10	open	FALSE
1	0.03	0.03	24870	41903600	20906500000	5479790	7458720	0.8489	0.9997	0.8844	0.9996	0.8844	0.9994	0.8661	0.8663	human	gg	bact_v4	10	closed	FALSE
1	0.03	0.03	34446	41814400	34679500000	6363500	13599200	0.7546	0.9998	0.8679	0.9996	0.8679	0.9994	0.809	0.8073	human	rdp	bact_v4	1	open	FALSE
1	0.03	0.03	1602	20689400	872799000	3827020	101890	0.9951	0.9956	0.8439	0.9999	0.8439	0.9956	0.9143	0.9133	human	rdp	bact_v4	1	closed	FALSE
1	0.03	0.03	34475	41952400	34679400000	6433300	13461200	0.7571	0.9998	0.867	0.9996	0.867	0.9994	0.8099	0.8083	human	rdp	bact_v4	2	open	FALSE
1	0.03	0.03	1614	20657800	861740000	3836720	76079	0.9963	0.9956	0.8434	0.9999	0.8434	0.9956	0.9146	0.9135	human	rdp	bact_v4	2	closed	FALSE
1	0.03	0.03	34469	41946700	34679500000	6395980	13466900	0.757	0.9998	0.8677	0.9996	0.8677	0.9994	0.8102	0.8086	human	rdp	bact_v4	3	open	FALSE
1	0.03	0.03	1601	20692400	872774000	3836210	114951	0.9945	0.9956	0.8436	0.9999	0.8436	0.9956	0.9138	0.9128	human	rdp	bact_v4	3	closed	FALSE
1	0.03	0.03	34440	41920500	34679500000	6377770	13493100	0.7565	0.9998	0.868	0.9996	0.868	0.9994	0.81	0.8084	human	rdp	bact_v4	4	open	FALSE
1	0.03	0.03	1599	20580700	856130000	3792200	48441	0.9977	0.9956	0.8444	0.9999	0.8444	0.9956	0.9158	0.9147	human	rdp	bact_v4	4	closed	FALSE
1	0.03	0.03	34435	41924900	34679500000	6398590	13488700	0.7566	0.9998	0.8676	0.9996	0.8676	0.9994	0.8099	0.8083	human	rdp	bact_v4	5	open	FALSE
1	0.03	0.03	1613	20650400	862928000	3819850	48932	0.9976	0.9956	0.8439	0.9999	0.8439	0.9956	0.9155	0.9143	human	rdp	bact_v4	5	closed	FALSE
1	0.03	0.03	34455	41818800	34679500000	6351990	13594800	0.7547	0.9998	0.8681	0.9996	0.8681	0.9994	0.8091	0.8074	human	rdp	bact_v4	6	open	FALSE
1	0.03	0.03	1607	20560500	853466000	3802870	122349	0.9941	0.9956	0.8439	0.9999	0.8439	0.9955	0.9138	0.9129	human	rdp	bact_v4	6	closed	FALSE
1	0.03	0.03	34478	41915900	34679500000	6404150	13497700	0.7564	0.9998	0.8675	0.9996	0.8675	0.9994	0.8098	0.8081	human	rdp	bact_v4	7	open	FALSE
1	0.03	0.03	1605	20662000	869494000	3823440	136623	0.9934	0.9956	0.8438	0.9998	0.8438	0.9956	0.9135	0.9126	human	rdp	bact_v4	7	closed	FALSE
1	0.03	0.03	34421	41938600	34679500000	6371820	13475000	0.7568	0.9998	0.8681	0.9996	0.8681	0.9994	0.8103	0.8087	human	rdp	bact_v4	8	open	FALSE
1	0.03	0.03	1604	20674700	875670000	3799770	113749	0.9945	0.9957	0.8447	0.9999	0.8447	0.9957	0.9145	0.9135	human	rdp	bact_v4	8	closed	FALSE
1	0.03	0.03	34438	41897400	34679500000	6369960	13516200	0.7561	0.9998	0.868	0.9996	0.868	0.9994	0.8098	0.8082	human	rdp	bact_v4	9	open	FALSE
1	0.03	0.03	1614	20663400	868171000	3834190	137711	0.9934	0.9956	0.8435	0.9998	0.8435	0.9956	0.9133	0.9123	human	rdp	bact_v4	9	closed	FALSE
1	0.03	0.03	34420	41931100	34679400000	6439280	13482500	0.7567	0.9998	0.8669	0.9996	0.8669	0.9994	0.8096	0.808	human	rdp	bact_v4	10	open	FALSE
1	0.03	0.03	1603	20643000	867987000	3835210	129664	0.9938	0.9956	0.8433	0.9999	0.8433	0.9956	0.9133	0.9124	human	rdp	bact_v4	10	closed	FALSE
1	0.03	0.03	46433	11732200	17018500000	2648330	3050860	0.7936	0.9998	0.8158	0.9998	0.8158	0.9997	0.8045	0.8046	marine	silva	bact_v4	1	open	FALSE
1	0.03	0.03	16034	10506000	3912680000	2467180	437705	0.96	0.9994	0.8098	0.9999	0.8098	0.9993	0.8814	0.8785	marine	silva	bact_v4	1	closed	FALSE
1	0.03	0.03	46413	11671200	17018500000	2642630	3111840	0.7895	0.9998	0.8154	0.9998	0.8154	0.9997	0.8022	0.8022	marine	silva	bact_v4	2	open	FALSE
1	0.03	0.03	16038	10470400	3904180000	2459740	476803	0.9564	0.9994	0.8098	0.9999	0.8098	0.9993	0.8797	0.877	marine	silva	bact_v4	2	closed	FALSE
1	0.03	0.03	46365	11721100	17018500000	2654840	3061950	0.7929	0.9998	0.8153	0.9998	0.8153	0.9997	0.8039	0.8039	marine	silva	bact_v4	3	open	FALSE
1	0.03	0.03	16012	10512400	3923110000	2467610	461980	0.9579	0.9994	0.8099	0.9999	0.8099	0.9993	0.8804	0.8777	marine	silva	bact_v4	3	closed	FALSE
1	0.03	0.03	46446	11589700	17018500000	2627060	3193380	0.784	0.9998	0.8152	0.9998	0.8152	0.9997	0.7993	0.7993	marine	silva	bact_v4	4	open	FALSE
1	0.03	0.03	16047	10359300	3898680000	2440150	534949	0.9509	0.9994	0.8094	0.9999	0.8094	0.9992	0.8769	0.8744	marine	silva	bact_v4	4	closed	FALSE
1	0.03	0.03	46431	11629800	17018500000	2620620	3153310	0.7867	0.9998	0.8161	0.9998	0.8161	0.9997	0.8011	0.8011	marine	silva	bact_v4	5	open	FALSE
1	0.03	0.03	16036	10401000	3897550000	2430230	476649	0.9562	0.9994	0.8106	0.9999	0.8106	0.9993	0.88	0.8774	marine	silva	bact_v4	5	closed	FALSE
1	0.03	0.03	46470	11678900	17018500000	2655020	3104180	0.79	0.9998	0.8148	0.9998	0.8148	0.9997	0.8021	0.8022	marine	silva	bact_v4	6	open	FALSE
1	0.03	0.03	16060	10476500	3933570000	2472140	507055	0.9538	0.9994	0.8091	0.9999	0.8091	0.9992	0.8781	0.8755	marine	silva	bact_v4	6	closed	FALSE
1	0.03	0.03	46472	11656200	17018500000	2633190	3126910	0.7885	0.9998	0.8157	0.9998	0.8157	0.9997	0.8018	0.8019	marine	silva	bact_v4	7	open	FALSE
1	0.03	0.03	16042	10411000	3869400000	2435550	454827	0.9581	0.9994	0.8104	0.9999	0.8104	0.9993	0.8808	0.8781	marine	silva	bact_v4	7	closed	FALSE
1	0.03	0.03	46405	11574600	17018500000	2611440	3208480	0.783	0.9998	0.8159	0.9998	0.8159	0.9997	0.7991	0.7991	marine	silva	bact_v4	8	open	FALSE
1	0.03	0.03	16047	10288200	3869600000	2419720	481269	0.9553	0.9994	0.8096	0.9999	0.8096	0.9993	0.8791	0.8764	marine	silva	bact_v4	8	closed	FALSE
1	0.03	0.03	46372	11571400	17018500000	2627120	3211650	0.7827	0.9998	0.815	0.9998	0.815	0.9997	0.7985	0.7985	marine	silva	bact_v4	9	open	FALSE
1	0.03	0.03	16044	10325400	3874450000	2438780	511721	0.9528	0.9994	0.8089	0.9999	0.8089	0.9992	0.8776	0.875	marine	silva	bact_v4	9	closed	FALSE
1	0.03	0.03	46484	11679200	17018500000	2641820	3103830	0.79	0.9998	0.8155	0.9998	0.8155	0.9997	0.8025	0.8026	marine	silva	bact_v4	10	open	FALSE
1	0.03	0.03	16055	10458200	3880700000	2460210	454109	0.9584	0.9994	0.8096	0.9999	0.8096	0.9993	0.8805	0.8777	marine	silva	bact_v4	10	closed	FALSE
1	0.03	0.03	54231	11573100	21792400000	2580500	3377860	0.7741	0.9999	0.8177	0.9998	0.8177	0.9997	0.7954	0.7953	marine	gg	bact_v4	1	open	FALSE
1	0.03	0.03	25019	10401000	6550960000	2405360	575590	0.9476	0.9996	0.8122	0.9999	0.8122	0.9995	0.877	0.8747	marine	gg	bact_v4	1	closed	FALSE
1	0.03	0.03	54236	11579100	21792400000	2582950	3371810	0.7745	0.9999	0.8176	0.9998	0.8176	0.9997	0.7956	0.7955	marine	gg	bact_v4	2	open	FALSE
1	0.03	0.03	24991	10392800	6542030000	2405880	578157	0.9473	0.9996	0.812	0.9999	0.812	0.9995	0.8768	0.8745	marine	gg	bact_v4	2	closed	FALSE
1	0.03	0.03	53953	10723600	21792500000	2402200	4227300	0.7173	0.9999	0.817	0.9998	0.817	0.9997	0.7653	0.7639	marine	gg	bact_v4	3	open	FALSE
1	0.03	0.03	24990	10059000	6625880000	2243280	854985	0.9217	0.9997	0.8177	0.9999	0.8177	0.9995	0.8679	0.8665	marine	gg	bact_v4	3	closed	FALSE
1	0.03	0.03	54299	11532800	21792400000	2566900	3418150	0.7714	0.9999	0.8179	0.9998	0.8179	0.9997	0.7942	0.794	marine	gg	bact_v4	4	open	FALSE
1	0.03	0.03	25019	10332900	6524300000	2389990	650023	0.9408	0.9996	0.8122	0.9999	0.8122	0.9995	0.8739	0.8718	marine	gg	bact_v4	4	closed	FALSE
1	0.03	0.03	54207	11543800	21792400000	2575040	3407130	0.7721	0.9999	0.8176	0.9998	0.8176	0.9997	0.7944	0.7942	marine	gg	bact_v4	5	open	FALSE
1	0.03	0.03	24999	10361000	6551550000	2399310	610909	0.9443	0.9996	0.812	0.9999	0.812	0.9995	0.8754	0.8732	marine	gg	bact_v4	5	closed	FALSE
1	0.03	0.03	54225	11726600	21792300000	2658750	3224320	0.7843	0.9999	0.8152	0.9999	0.8152	0.9997	0.7995	0.7995	marine	gg	bact_v4	6	open	FALSE
1	0.03	0.03	24995	10552300	6572890000	2484400	551769	0.9503	0.9996	0.8094	0.9999	0.8094	0.9995	0.8768	0.8742	marine	gg	bact_v4	6	closed	FALSE
1	0.03	0.03	54171	10872300	21792500000	2447820	4078640	0.7272	0.9999	0.8162	0.9998	0.8162	0.9997	0.7703	0.7691	marine	gg	bact_v4	7	open	FALSE
1	0.03	0.03	25022	9666380	6508960000	2264800	784579	0.92490000000000006	0.9997	0.8102	0.9999	0.8102	0.9995	0.8654	0.8638	marine	gg	bact_v4	7	closed	FALSE
1	0.03	0.03	54205	11513000	21792400000	2570420	3437970	0.7701	0.9999	0.8175	0.9998	0.8175	0.9997	0.7933	0.7931	marine	gg	bact_v4	8	open	FALSE
1	0.03	0.03	24999	10343900	6536810000	2395710	594989	0.9456	0.9996	0.8119	0.9999	0.8119	0.9995	0.876	0.8737	marine	gg	bact_v4	8	closed	FALSE
1	0.03	0.03	54237	11621100	21792300000	2624960	3329850	0.7773	0.9999	0.8157	0.9998	0.8157	0.9997	0.7961	0.796	marine	gg	bact_v4	9	open	FALSE
1	0.03	0.03	25018	10442600	6562200000	2448770	606177	0.9451	0.9996	0.81	0.9999	0.81	0.9995	0.8748	0.8724	marine	gg	bact_v4	9	closed	FALSE
1	0.03	0.03	54172	10757300	21792500000	2396480	4193660	0.7195	0.9999	0.8178	0.9998	0.8178	0.9997	0.7669	0.7655	marine	gg	bact_v4	10	open	FALSE
1	0.03	0.03	24985	9568890	6502680000	2216810	817053	0.9213	0.9997	0.8119	0.9999	0.8119	0.9995	0.8647	0.8632	marine	gg	bact_v4	10	closed	FALSE
1	0.03	0.03	52552	11151600	13365300000	2334520	3132380	0.7807	0.9998	0.8269	0.9998	0.8269	0.9996	0.8033	0.8031	marine	rdp	bact_v4	1	open	FALSE
1	0.03	0.03	1620	503634	64119400	89917	90434	0.8478	0.9986	0.8485	0.9986	0.8485	0.9972	0.8467	0.8481	marine	rdp	bact_v4	1	closed	FALSE
1	0.03	0.03	52510	11145100	13365300000	2318010	3138850	0.7803	0.9998	0.8278	0.9998	0.8278	0.9996	0.8035	0.8033	marine	rdp	bact_v4	2	open	FALSE
1	0.03	0.03	1630	497582	63105200	87960	58231	0.8952	0.9986	0.8498	0.9991	0.8498	0.9977	0.8711	0.8719	marine	rdp	bact_v4	2	closed	FALSE
1	0.03	0.03	52531	11177500	13365300000	2340300	3106480	0.7825	0.9998	0.8269	0.9998	0.8269	0.9996	0.8042	0.8041	marine	rdp	bact_v4	3	open	FALSE
1	0.03	0.03	1618	504247	63852900	91622	104396	0.8285	0.9986	0.8462	0.9984	0.8462	0.997	0.8358	0.8373	marine	rdp	bact_v4	3	closed	FALSE
1	0.03	0.03	52572	11232100	13365300000	2344860	3051810	0.7863	0.9998	0.8273	0.9998	0.8273	0.9996	0.8064	0.8063	marine	rdp	bact_v4	4	open	FALSE
1	0.03	0.03	1629	568953	65201000	106429	58982	0.9061	0.9984	0.8424	0.9991	0.8424	0.9975	0.8724	0.8731	marine	rdp	bact_v4	4	closed	FALSE
1	0.03	0.03	52521	11215000	13365300000	2344360	3068930	0.7851	0.9998	0.8271	0.9998	0.8271	0.9996	0.8057	0.8056	marine	rdp	bact_v4	5	open	FALSE
1	0.03	0.03	1634	570463	65411300	106744	53792	0.9138	0.9984	0.8424	0.9992	0.8424	0.9976	0.8762	0.8766	marine	rdp	bact_v4	5	closed	FALSE
1	0.03	0.03	52501	11143700	13365300000	2323980	3140210	0.7802	0.9998	0.8274	0.9998	0.8274	0.9996	0.8032	0.8031	marine	rdp	bact_v4	6	open	FALSE
1	0.03	0.03	1625	458555	61067900	77940	95027	0.8283	0.9987	0.8547	0.9984	0.8547	0.9972	0.84	0.8413	marine	rdp	bact_v4	6	closed	FALSE
1	0.03	0.03	52519	11081200	13365300000	2322370	3202700	0.7758	0.9998	0.8267	0.9998	0.8267	0.9996	0.8006	0.8004	marine	rdp	bact_v4	7	open	FALSE
1	0.03	0.03	1629	473076	62807500	86183	66480	0.8768	0.9986	0.8459	0.9989	0.8459	0.9976	0.86	0.8611	marine	rdp	bact_v4	7	closed	FALSE
1	0.03	0.03	52513	11157000	13365300000	2328800	3126950	0.7811	0.9998	0.8273	0.9998	0.8273	0.9996	0.8037	0.8035	marine	rdp	bact_v4	8	open	FALSE
1	0.03	0.03	1624	490964	62488400	90316	71069	0.8736	0.9986	0.8446	0.9989	0.8446	0.9974	0.8577	0.8588	marine	rdp	bact_v4	8	closed	FALSE
1	0.03	0.03	52530	11124000	13365300000	2325760	3159900	0.7788	0.9998	0.8271	0.9998	0.8271	0.9996	0.8024	0.8022	marine	rdp	bact_v4	9	open	FALSE
1	0.03	0.03	1610	471775	62957800	82654	112576	0.8073	0.9987	0.8509	0.9982	0.8509	0.9969	0.8273	0.8286	marine	rdp	bact_v4	9	closed	FALSE
1	0.03	0.03	52547	11149700	13365300000	2324000	3134190	0.7806	0.9998	0.8275	0.9998	0.8275	0.9996	0.8035	0.8034	marine	rdp	bact_v4	10	open	FALSE
1	0.03	0.03	1618	505581	64226100	89792	95811	0.8407	0.9986	0.8492	0.9985	0.8492	0.9971	0.8435	0.8449	marine	rdp	bact_v4	10	closed	FALSE
1	0.03	0.03	21172	7360240	6373210000	1152220	2720940	0.7301	0.9998	0.8646	0.9996	0.8646	0.9994	0.7942	0.7917	mouse	silva	bact_v4	1	open	FALSE
1	0.03	0.03	15091	4816630	2581180000	737137	340226	0.934	0.9997	0.8673	0.9999	0.8673	0.9996	0.8998	0.8994	mouse	silva	bact_v4	1	closed	FALSE
1	0.03	0.03	21222	7368170	6373210000	1153630	2713010	0.7309	0.9998	0.8646	0.9996	0.8646	0.9994	0.7947	0.7921	mouse	silva	bact_v4	2	open	FALSE
1	0.03	0.03	15112	4811930	2570910000	737703	338264	0.9343	0.9997	0.8671	0.9999	0.8671	0.9996	0.8999	0.8994	mouse	silva	bact_v4	2	closed	FALSE
1	0.03	0.03	21213	7341220	6373220000	1142460	2739960	0.7282	0.9998	0.8653	0.9996	0.8653	0.9994	0.7935	0.7909	mouse	silva	bact_v4	3	open	FALSE
1	0.03	0.03	15088	4796100	2576080000	736030	354066	0.9313	0.9997	0.867	0.9999	0.867	0.9996	0.8983	0.898	mouse	silva	bact_v4	3	closed	FALSE
1	0.03	0.03	21215	7382210	6373190000	1169180	2698970	0.7323	0.9998	0.8633	0.9996	0.8633	0.9994	0.7948	0.7924	mouse	silva	bact_v4	4	open	FALSE
1	0.03	0.03	15125	4830630	2587920000	746714	334563	0.9352	0.9997	0.8661	0.9999	0.8661	0.9996	0.8998	0.8993	mouse	silva	bact_v4	4	closed	FALSE
1	0.03	0.03	21242	7338180	6373210000	1149090	2743000	0.7279	0.9998	0.8646	0.9996	0.8646	0.9994	0.793	0.7904	mouse	silva	bact_v4	5	open	FALSE
1	0.03	0.03	15124	4789400	2570980000	742160	353566	0.9313	0.9997	0.8658	0.9999	0.8658	0.9996	0.8977	0.8974	mouse	silva	bact_v4	5	closed	FALSE
1	0.03	0.03	21218	7364960	6373220000	1146190	2716220	0.7306	0.9998	0.8653	0.9996	0.8653	0.9994	0.7948	0.7923	mouse	silva	bact_v4	6	open	FALSE
1	0.03	0.03	15097	4828710	2592610000	737671	342785	0.9337	0.9997	0.8675	0.9999	0.8675	0.9996	0.8998	0.8994	mouse	silva	bact_v4	6	closed	FALSE
1	0.03	0.03	21187	7350040	6373200000	1160960	2731140	0.7291	0.9998	0.8636	0.9996	0.8636	0.9994	0.7932	0.7907	mouse	silva	bact_v4	7	open	FALSE
1	0.03	0.03	15082	4786020	2564470000	735946	344735	0.9328	0.9997	0.8667	0.9999	0.8667	0.9996	0.899	0.8986	mouse	silva	bact_v4	7	closed	FALSE
1	0.03	0.03	21204	7350630	6373200000	1159680	2730550	0.7291	0.9998	0.8637	0.9996	0.8637	0.9994	0.7933	0.7908	mouse	silva	bact_v4	8	open	FALSE
1	0.03	0.03	15069	4784190	2565040000	734858	354452	0.931	0.9997	0.8669	0.9999	0.8669	0.9996	0.8982	0.8978	mouse	silva	bact_v4	8	closed	FALSE
1	0.03	0.03	21214	7331730	6373220000	1143640	2749450	0.7273	0.9998	0.8651	0.9996	0.8651	0.9994	0.7929	0.7902	mouse	silva	bact_v4	9	open	FALSE
1	0.03	0.03	15105	4793740	2587590000	738920	354355	0.9312	0.9997	0.8664	0.9999	0.8664	0.9996	0.898	0.8976	mouse	silva	bact_v4	9	closed	FALSE
1	0.03	0.03	21220	7372130	6373210000	1155680	2709050	0.7313	0.9998	0.8645	0.9996	0.8645	0.9994	0.7948	0.7923	mouse	silva	bact_v4	10	open	FALSE
1	0.03	0.03	15088	4820310	2577650000	740714	337222	0.9346	0.9997	0.8668	0.9999	0.8668	0.9996	0.8999	0.8994	mouse	silva	bact_v4	10	closed	FALSE
1	0.03	0.03	30160	8107610	9480890000	1288250	2269100	0.7813	0.9999	0.8629	0.9998	0.8629	0.9996	0.8209	0.8201	mouse	gg	bact_v4	1	open	FALSE
1	0.03	0.03	24048	7420680	5550550000	1147050	573726	0.9282	0.9998	0.8661	0.9999	0.8661	0.9997	0.8965	0.8961	mouse	gg	bact_v4	1	closed	FALSE
1	0.03	0.03	30093	8046980	9480940000	1241290	2329730	0.7755	0.9999	0.8664	0.9998	0.8664	0.9996	0.8195	0.8184	mouse	gg	bact_v4	2	open	FALSE
1	0.03	0.03	24038	7335230	5519450000	1082310	549042	0.9304	0.9998	0.8714	0.9999	0.8714	0.9997	0.9003	0.8999	mouse	gg	bact_v4	2	closed	FALSE
1	0.03	0.03	30108	8023000	9480980000	1206800	2353720	0.7732	0.9999	0.8692	0.9998	0.8692	0.9996	0.8196	0.8184	mouse	gg	bact_v4	3	open	FALSE
1	0.03	0.03	24033	7313220	5534830000	1044490	598666	0.9243	0.9998	0.875	0.9999	0.875	0.9997	0.8992	0.899	mouse	gg	bact_v4	3	closed	FALSE
1	0.03	0.03	30191	8083220	9480920000	1265480	2293500	0.779	0.9999	0.8646	0.9998	0.8646	0.9996	0.8205	0.8196	mouse	gg	bact_v4	4	open	FALSE
1	0.03	0.03	24072	7406080	5562490000	1134100	583747	0.9269	0.9998	0.8672	0.9999	0.8672	0.9997	0.8964	0.8961	mouse	gg	bact_v4	4	closed	FALSE
1	0.03	0.03	30139	8113860	9480880000	1301040	2262860	0.7819	0.9999	0.8618	0.9998	0.8618	0.9996	0.8207	0.8199	mouse	gg	bact_v4	5	open	FALSE
1	0.03	0.03	24037	7421610	5560780000	1150960	573583	0.9283	0.9998	0.8657	0.9999	0.8657	0.9997	0.8963	0.8959	mouse	gg	bact_v4	5	closed	FALSE
1	0.03	0.03	30132	8044140	9480980000	1204900	2332570	0.7752	0.9999	0.8697	0.9998	0.8697	0.9996	0.8209	0.8198	mouse	gg	bact_v4	6	open	FALSE
1	0.03	0.03	24038	7347370	5523430000	1064530	573128	0.9276	0.9998	0.8734	0.9999	0.8734	0.9997	0.9	0.8997	mouse	gg	bact_v4	6	closed	FALSE
1	0.03	0.03	30129	8063160	9480960000	1226070	2313550	0.777	0.9999	0.868	0.9998	0.868	0.9996	0.8211	0.82	mouse	gg	bact_v4	7	open	FALSE
