label	cutoff	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	dataset	ref	region	seed	method	printref	iter	numotus
0.03	0.03	7151210	6346560000	971998	2896140	0.7118	0.9998	0.8803	0.9995	0.8803	0.9994	0.7913	0.7871	mouse	silva	bact_v4	8	open	FALSE	1	21101
0.03	0.03	3995400	1997700000	427486	212376	0.9495	0.9998	0.9033	0.9999	0.9033	0.9997	0.926	0.9259	mouse	silva	bact_v4	8	closed	FALSE	1	15083
0.03	0.03	7134260	6346580000	949789	2913080	0.7101	0.9999	0.8825	0.9995	0.8825	0.9994	0.7913	0.787	mouse	silva	bact_v4	9	open	FALSE	1	21166
0.03	0.03	4006050	2007130000	430725	211603	0.9498	0.9998	0.9029	0.9999	0.9029	0.9997	0.9259	0.9258	mouse	silva	bact_v4	9	closed	FALSE	1	15094
0.03	0.03	7140820	6346580000	953461	2906530	0.7107	0.9998	0.8822	0.9995	0.8822	0.9994	0.7915	0.7872	mouse	silva	bact_v4	10	open	FALSE	1	21120
0.03	0.03	3997030	1996880000	431404	204374	0.9514	0.9998	0.9026	0.9999	0.9026	0.9997	0.9265	0.9263	mouse	silva	bact_v4	10	closed	FALSE	1	15077
0.03	0.03	8967140	37524700000	3410500	4324480	0.6746	0.9999	0.7245	0.9999	0.7245	0.9998	0.699	0.6987	soil	silva	bact_v4	1	open	FALSE	1	96521
0.03	0.03	7644890	6231490000	3018930	927850	0.8918	0.9995	0.7169	0.9999	0.7169	0.9994	0.7993	0.7948	soil	silva	bact_v4	1	closed	FALSE	1	16655
0.03	0.03	9030350	37524800000	3366300	4261270	0.6794	0.9999	0.7285	0.9999	0.7285	0.9998	0.7034	0.7031	soil	silva	bact_v4	2	open	FALSE	1	96537
0.03	0.03	7638350	6197200000	3014340	969727	0.8873	0.9995	0.717	0.9998	0.717	0.9994	0.7974	0.7932	soil	silva	bact_v4	2	closed	FALSE	1	16622
0.03	0.03	9010470	37524800000	3341900	4281150	0.6779	0.9999	0.7295	0.9999	0.7295	0.9998	0.7031	0.7027	soil	silva	bact_v4	3	open	FALSE	1	96500
0.03	0.03	7592680	6167700000	3053980	873285	0.8968	0.9995	0.7132	0.9999	0.7132	0.9994	0.7994	0.7945	soil	silva	bact_v4	3	closed	FALSE	1	16590
0.03	0.03	8957740	37524900000	3277130	4333870	0.6739	0.9999	0.7321	0.9999	0.7321	0.9998	0.7023	0.7018	soil	silva	bact_v4	4	open	FALSE	1	96457
0.03	0.03	7595500	6198960000	2974860	965308	0.8872	0.9995	0.7186	0.9998	0.7186	0.9994	0.7982	0.794	soil	silva	bact_v4	4	closed	FALSE	1	16628
0.03	0.03	9038910	37524800000	3334680	4252700	0.68	0.9999	0.7305	0.9999	0.7305	0.9998	0.7047	0.7044	soil	silva	bact_v4	5	open	FALSE	1	96759
0.03	0.03	7668790	6241460000	3063620	950657	0.8897	0.9995	0.7145	0.9998	0.7145	0.9994	0.797	0.7926	soil	silva	bact_v4	5	closed	FALSE	1	16625
0.03	0.03	9047790	37524800000	3319840	4243830	0.6807	0.9999	0.7316	0.9999	0.7316	0.9998	0.7056	0.7052	soil	silva	bact_v4	6	open	FALSE	1	96631
0.03	0.03	7702070	6237210000	3045690	940274	0.8912	0.9995	0.7166	0.9998	0.7166	0.9994	0.7989	0.7944	soil	silva	bact_v4	6	closed	FALSE	1	16602
0.03	0.03	8995270	37524800000	3304580	4296340	0.6768	0.9999	0.7313	0.9999	0.7313	0.9998	0.7034	0.703	soil	silva	bact_v4	7	open	FALSE	1	96732
0.03	0.03	7624600	6219510000	3032660	966237	0.8875	0.9995	0.7154	0.9998	0.7154	0.9994	0.7965	0.7922	soil	silva	bact_v4	7	closed	FALSE	1	16602
0.03	0.03	9059620	37524800000	3370790	4231990	0.6816	0.9999	0.7288	0.9999	0.7288	0.9998	0.7047	0.7044	soil	silva	bact_v4	8	open	FALSE	1	96788
0.03	0.03	7660460	6190260000	3097440	899307	0.8949	0.9995	0.7121	0.9999	0.7121	0.9994	0.798	0.7931	soil	silva	bact_v4	8	closed	FALSE	1	16628
0.03	0.03	8954160	37524900000	3276900	4337450	0.6737	0.9999	0.7321	0.9999	0.7321	0.9998	0.7022	0.7017	soil	silva	bact_v4	9	open	FALSE	1	96533
0.03	0.03	7582810	6191770000	2997040	902760	0.8936	0.9995	0.7167	0.9999	0.7167	0.9994	0.8	0.7955	soil	silva	bact_v4	9	closed	FALSE	1	16618
0.03	0.03	9027260	37524800000	3362800	4264360	0.6792	0.9999	0.7286	0.9999	0.7286	0.9998	0.7033	0.703	soil	silva	bact_v4	10	open	FALSE	1	96729
0.03	0.03	7655280	6230280000	3090820	936967	0.891	0.9995	0.7124	0.9998	0.7124	0.9994	0.7964	0.7917	soil	silva	bact_v4	10	closed	FALSE	1	16641
