seq	abundance	similarity
SRR2143991.15208	2	17
SRR2143523.37296	40	0
SRR2143878.44741	4	146
SRR2143669.124224	4	854
SRR2143848.4183	1	799
SRR2143585.105754	14354	67
SRR2143611.30361	1	604
SRR2143532.12474	1	416
SRR2143949.53617	1	227
SRR2143969.30016	13	244
SRR2144015.34670	1	29
SRR2143964.27484	1	14
SRR2143767.53440	1	105
SRR2143612.43280	1	740
SRR2144101.14886	1	474
SRR2143780.12085	2	969
SRR2144092.43358	1	217
SRR2144017.23559	1	197
SRR2143618.1426	1	109
SRR2143736.85128	1	40
SRR2143607.54305	1	612
SRR2143922.42701	1	49
SRR2143617.30613	2	245
SRR2143940.108742	2	111
SRR2143983.34776	3	761
SRR2143931.63631	2	55
SRR2143722.50257	3	504
SRR2143835.42623	1	3399
SRR2144116.24666	1	1870
SRR2143804.11713	2	671
SRR2143973.61476	1	183
SRR2143548.11605	1	145
SRR2143790.49401	1	3321
SRR2143535.4757	1	2293
SRR2143812.2544	1	311
SRR2143570.12465	1	1485
SRR2143899.20585	1	57
SRR2143566.11463	1	128
SRR2143723.66040	1	585
SRR2143612.43281	1	758
SRR2143649.2760	3	2050
SRR2143901.2502	1	141
SRR2143823.362886	2	0
SRR2143940.107289	3	118
SRR2143535.3010	1	1006
SRR2143956.65897	2	1184
SRR2143679.85828	2	34
SRR2143754.41038	1	568
SRR2143783.29887	1	0
SRR2143568.15626	1	35
SRR2144070.33403	1	66
SRR2143948.85070	1	989
SRR2143827.223801	16	36
SRR2143980.1843	1	29
SRR2144113.26849	2	2
SRR2143701.3132	1	6
SRR2143884.11596	1	0
SRR2143575.27623	1	659
SRR2143986.100963	3	655
SRR2144029.50539	1	46
SRR2143808.76875	1	79
SRR2143995.17778	2	766
SRR2144033.8228	1	1
SRR2143809.7344	1	2114
SRR2143669.118608	49	340
SRR2143734.1914	1	2937
SRR2143947.29520	1	569
SRR2143799.28526	1	11
SRR2144089.12438	1	137
SRR2143617.39761	1	19
SRR2143765.6408	1	32
SRR2143775.91603	1	2406
SRR2143605.33442	1	1431
SRR2143812.24623	1	291
SRR2143856.9934	1	266
SRR2143929.93213	2	534
SRR2143819.22498	1	2118
SRR2143744.24634	1	17
SRR2143754.179505	465	3565
SRR2143927.14352	2	35
SRR2143880.7044	2	319
SRR2143547.25504	1	569
SRR2143823.197602	2	237
SRR2143752.61860	1	1575
SRR2144026.24074	2	58
SRR2143774.7495	1	13
SRR2143576.87073	2	11
SRR2144100.33411	3	1476
SRR2143556.30129	1	2392
SRR2143770.43326	2	3312
SRR2144104.22173	3	81
SRR2143823.214269	2	39
SRR2144001.53904	1	458
SRR2143545.10405	1	2167
SRR2143823.595814	1	111
SRR2143605.26475	1	1210
SRR2143561.2498	320	9
SRR2144012.6151	1	42
SRR2143563.2706	1	24
SRR2143620.30178	4	165
SRR2143575.25386	1	859
SRR2143986.94059	1	1097
SRR2143614.149893	3	452
SRR2143517.1256	1	261
SRR2144110.46704	1	200
SRR2143989.39427	2	102
SRR2143994.2268	28	128
SRR2143742.34241	1	1153
SRR2143977.6145	3	22
SRR2143862.122753	7	580
SRR2143796.3437	1	1052
SRR2143882.15037	1	7
SRR2143535.36766	29	1939
SRR2143639.18299	261	29
SRR2143909.6466	3	128
SRR2144039.9271	3	146
SRR2143699.23052	1	1494
SRR2143946.35628	6	2419
SRR2143943.33783	1	232
SRR2143937.17058	1	442
SRR2143862.3287	1	185
SRR2143902.55124	2	80
SRR2143995.85088	4	14
SRR2144108.49280	188	25
SRR2143635.20341	1	122
SRR2143677.6500	1	2830
SRR2143823.456482	1	2069
SRR2143983.63898	4	173
SRR2143882.15038	1	11
SRR2143823.436793	1	219
SRR2143949.67293	1	2115
SRR2144110.7729	3	764
SRR2143718.9349	1	583
SRR2143830.4407	1	69
SRR2143674.232	3	903
SRR2143985.41852	2	8
SRR2143856.50175	3	1188
SRR2144095.15410	1	113
SRR2143536.3646	1	2827
SRR2143561.7746	1	610
SRR2143585.26021	1	521
SRR2143794.10030	1	517
SRR2143902.82951	1	41
SRR2144102.29686	3	27
SRR2144108.76512	2	28
SRR2143818.46752	1	2
SRR2143718.1735	14	143
SRR2143933.26412	2	22
SRR2143716.51101	3	0
SRR2143961.17305	1	10
SRR2143649.6012	2	40
SRR2144017.24623	3	1367
SRR2143536.49259	1	40
SRR2144040.4048	1	445
SRR2143751.14581	1	629
SRR2143531.10119	1	136
SRR2143902.70640	2	59
SRR2143948.93110	2	100
SRR2143849.50609	1	491
SRR2143722.39605	1	93
SRR2143621.31209	1	1230
SRR2143617.35845	1	78
SRR2143605.36026	1	1
SRR2143862.61878	2	63
SRR2143668.6911	2	50
SRR2143797.15258	1	7
SRR2143742.52012	1	110
SRR2143590.9505	4	97
SRR2143925.22841	1	2391
SRR2143548.23891	1	225
SRR2143612.17935	1	3296
SRR2143679.51905	1	233
SRR2144015.36769	10	81
SRR2143611.5919	1	143
SRR2143607.30293	1	108
SRR2143808.37199	1	287
SRR2143675.36279	1	1216
SRR2143970.3317	1	725
SRR2143654.19981	1	4
SRR2143568.22190	1	10
SRR2143630.13876	1	58
SRR2143940.38338	1	143
SRR2143774.9250	1	306
SRR2143899.16641	4	77
SRR2144098.70642	1	477
SRR2143862.52207	1	109
SRR2143840.5529	3	2
SRR2143941.11720	2	912
SRR2143694.16089	1	1380
SRR2144103.69308	1	139
SRR2143752.14846	1	951
SRR2143744.15213	1	2424
SRR2144103.35100	2	46
SRR2144131.2267	3	17
SRR2143957.11525	1	465
SRR2143722.50011	1	51
SRR2144024.24241	1	515
SRR2143731.4890	1	203
SRR2143756.8084	1	269
SRR2143731.12962	1	70
SRR2143581.23886	1	40
SRR2143912.7857	1	92
SRR2144108.40379	3	355
SRR2143580.44485	2	525
SRR2143948.18934	1	88
SRR2143984.34433	1	546
SRR2144123.56332	6	161
SRR2143908.45593	1	53
SRR2143630.51742	1	18
SRR2143517.15637	1	1166
SRR2143840.41193	1	162
SRR2144090.7045	1	557
SRR2144104.7913	3	590
SRR2143630.53949	1	503
SRR2144091.27301	1	2431
SRR2144034.74262	1	160
SRR2143819.34818	2	258
SRR2143993.171902	4	377
SRR2143573.2053	1	303
SRR2143800.37895	1	3300
SRR2143782.3617	1	622
SRR2143533.15833	316	122
SRR2143597.60725	1	419
SRR2143664.9698	7	57
SRR2143644.39485	1	2696
SRR2144121.9020	1	52
SRR2143630.59597	3	61
SRR2143933.1928	4	77
SRR2144034.36010	6	21
SRR2143794.19658	5	1109
SRR2143574.100793	1	119
SRR2144129.28494	3	804
SRR2143884.17347	1	45
SRR2143566.23719	1	218
SRR2144001.70672	1	62
SRR2143934.33918	1	610
SRR2143596.37585	1	5
SRR2143929.93933	1	536
SRR2143991.67944	1	423
SRR2143530.28295	59	41
SRR2143592.3442	1	53
SRR2143668.71295	2	624
SRR2143562.73226	2	60
SRR2143897.32516	1	921
SRR2143565.10598	1	2835
SRR2143539.70119	2	42
SRR2144010.1406	2	222
SRR2143518.21930	1	29
SRR2143575.62080	9	3
SRR2143679.14236	1	484
SRR2143660.18303	1	3
SRR2143823.483765	1	306
SRR2143951.13774	1	1714
SRR2143823.436060	1	26
SRR2143614.143228	1	747
SRR2143592.21177	1	54
SRR2143745.18381	1	1579
SRR2144032.7176	1	709
SRR2143842.9104	1	3487
SRR2143686.12560	2	12
SRR2143577.27014	2	9
SRR2143782.37497	1	2336
SRR2143669.194113	1	1370
SRR2143946.2770	1	1638
SRR2144090.55829	1	105
SRR2143672.18740	3	588
SRR2143858.3833	8	282
SRR2143601.19208	1	106
SRR2143815.13981	2	28
SRR2144099.35257	1	34
SRR2143983.14441	2	5
SRR2143856.3944	1	77
SRR2143924.22196	2	835
SRR2143940.82249	1	507
SRR2144036.38925	1	772
SRR2143787.20977	2	2263
SRR2143653.873	1	544
SRR2143649.10004	1	522
SRR2143706.36533	1	68
SRR2143650.21235	2	365
SRR2143575.74861	1	884
SRR2143889.174921	2	343
SRR2143532.6496	1	71
SRR2143564.8710	1	27
SRR2143959.111963	2	489
SRR2143998.47757	77	313
SRR2143597.49344	15	153
SRR2144100.22501	2	381
SRR2143596.33255	1	523
SRR2143583.27769	4	549
SRR2143776.695	1	551
SRR2144073.6578	1	77
SRR2143664.17143	2	22
SRR2143890.22220	4	5
SRR2143545.176762	1	672
SRR2143949.24984	8	1996
SRR2143959.7913	19	91
SRR2143823.159859	3	36
SRR2143840.1359	1	298
SRR2144095.30265	11	749
SRR2143827.106322	1	533
SRR2143864.47994	1	527
SRR2143674.6625	3	0
SRR2143752.56381	1	1
SRR2143547.17215	1	138
SRR2143703.9680	1	2
SRR2143902.58070	1	744
SRR2144100.24280	2	2810
SRR2143654.3542	1	396
SRR2143768.14932	1	20
SRR2143567.27732	15	713
SRR2143559.27626	1	333
SRR2143530.7705	2	319
SRR2143631.7237	4	932
SRR2143744.522	2	998
SRR2143961.18035	3	11
SRR2143902.32726	1	231
SRR2143590.2076	1	3
SRR2143996.71728	2	41
SRR2144006.21493	2	503
SRR2143831.7105	1	1486
SRR2143905.98213	1	222
SRR2143963.18026	1	574
SRR2143714.2539	1	149
SRR2143723.3327	1	65
SRR2143993.50707	1	674
SRR2143736.54745	1	131
SRR2143630.45099	5	2426
SRR2144112.95426	1	2382
SRR2143842.75466	77	774
SRR2143817.100820	2	2212
SRR2143737.35882	1	1375
SRR2143726.3309	10	1
SRR2144015.12098	1	84
SRR2144089.4238	1	96
SRR2143593.14937	1	206
SRR2143705.56873	1	1053
SRR2143518.5329	1	33
SRR2144113.190259	1	707
SRR2144015.58562	2	490
SRR2143589.44641	1	82
SRR2143576.24087	4	3034
SRR2143811.4535	8	365
SRR2143679.107020	3	31
SRR2143532.22342	1	2
SRR2143844.35209	1	2029
SRR2144015.45113	1	85
SRR2143823.113880	1	25
SRR2143823.171569	3	94
SRR2143706.17579	1	1784
SRR2143570.38020	2	1384
SRR2143523.14986	1	147
SRR2144102.13712	1	205
SRR2143751.23336	1	959
SRR2143607.13626	1	934
SRR2144108.30287	1	56
SRR2143687.50850	1	141
SRR2144093.362	1	2787
SRR2143811.37231	3	229
SRR2143731.9125	2	228
SRR2143574.7751	1	1089
SRR2143644.54418	1	115
SRR2143616.26927	1	113
SRR2143711.38042	2	6
SRR2143832.3084	1	17
SRR2143669.143018	4	829
SRR2143957.40323	1	55
SRR2144032.34978	1	294
SRR2143590.10228	5	0
SRR2143911.35494	1	104
SRR2143864.38556	1	464
SRR2143680.53852	1	95
SRR2144127.51178	1	82
SRR2144102.24898	536	3106
SRR2143672.51753	1	2398
SRR2143819.20703	1	119
SRR2143675.9275	2	72
SRR2143922.3830	3	42
SRR2143928.19017	1	1034
SRR2143893.2078	1	1847
SRR2144034.73219	1	348
SRR2143731.25054	3	332
SRR2143713.41288	1	62
SRR2143712.15350	3	26
SRR2143993.44613	3	30
SRR2143612.41620	1	903
SRR2143785.22771	1	3403
SRR2143614.95466	1	72
SRR2143995.26504	1	940
SRR2143819.29623	1	205
SRR2143973.63008	1	116
SRR2143731.11565	1	2012
SRR2143747.41871	1	1372
SRR2143862.58496	1	143
SRR2143823.45593	1	528
SRR2143823.14106	3	25
SRR2143783.21702	1	64
SRR2144001.21597	1	601
SRR2143752.60126	1	76
SRR2143882.22096	1	59
SRR2143542.19111	2	373
SRR2144031.29200	1	292
SRR2143585.77294	2	48
SRR2143723.8546	9	0
SRR2143566.9720	1	1672
SRR2143924.34817	1	353
SRR2143955.25437	1	72
SRR2143542.67288	1	896
SRR2143857.21617	1	1561
SRR2144111.24200	2	5
SRR2143725.47249	253	114
SRR2144108.33527	409	41
SRR2143584.55049	1	1189
SRR2143948.90056	1	530
SRR2143784.10961	4	1808
SRR2143892.16074	1	537
SRR2143669.148703	2	951
SRR2143889.106905	2	1846
SRR2143902.31013	1	91
SRR2143764.8201	1	143
SRR2143609.10394	1	1239
SRR2143781.16853	1	2590
SRR2143948.113780	2	697
SRR2143643.94592	1	141
SRR2143608.26262	3	41
SRR2143905.81409	2	162
SRR2143705.56880	1	2743
SRR2143540.1428	2	3
SRR2143714.21940	1	42
SRR2143748.14396	1	56
SRR2143542.37634	68	2101
SRR2143986.4363	1	3483
SRR2143823.144256	2	88
SRR2143973.27022	1	3356
SRR2143658.3016	1	25
SRR2143840.14596	1	1045
SRR2144104.44088	1	944
SRR2143823.452941	1	10
SRR2143644.44277	4	241
SRR2144113.203487	5	5
SRR2143637.27285	1	121
SRR2144016.42533	2	1066
SRR2143832.21054	1	42
SRR2143668.11433	1	534
SRR2143608.4996	1	281
SRR2143983.36950	1	63
SRR2143680.44112	1	3
SRR2144110.48423	1	102
SRR2143995.80731	1	9
SRR2143882.27664	2	64
SRR2143989.57140	1	5
SRR2143643.42168	3	552
SRR2143602.28085	3	270
SRR2143657.3263	1	28
SRR2143978.44174	1	33
SRR2143658.12817	1	26
SRR2143823.127813	2	0
SRR2143978.19636	1	2942
SRR2143681.8015	1	913
SRR2143883.7073	3	1200
SRR2143713.52377	1	12
SRR2143912.10585	20	57
SRR2144034.35216	4	295
SRR2143719.20424	1	88
SRR2143572.12585	1	1287
SRR2143591.30145	1	1391
SRR2143686.81018	2	159
SRR2143631.12102	1	1720
SRR2143584.51352	1	2857
SRR2143749.8039	1	3568
SRR2143776.24405	1	963
SRR2143777.6429	19	307
SRR2143622.51274	4	123
SRR2143954.19743	1	77
SRR2143633.55151	3	310
SRR2143823.85614	1	1899
SRR2144113.14430	1	223
SRR2143620.26346	1	506
SRR2143631.21311	1	1182
SRR2143611.33010	1	2117
SRR2143592.24968	1	215
SRR2143831.81751	1	868
SRR2143811.49380	4	219
SRR2143565.11033	1	1576
SRR2143607.58801	1	763
SRR2143616.28075	1	2276
SRR2143669.50360	2	2034
SRR2144095.17412	1	1426
SRR2143991.42747	1	242
SRR2143811.19269	1	1438
SRR2143993.140277	2	247
SRR2143638.62108	1	2118
SRR2143751.36506	1	544
SRR2143973.38320	1	173
SRR2143880.6800	1	17
SRR2143697.41529	1	1187
SRR2143585.36766	1	183
SRR2144030.4033	39	197
SRR2143853.53849	1	252
SRR2143760.6927	1	28
SRR2143889.157892	3	2597
SRR2143961.1337	2	3
SRR2143583.2850	2	36
SRR2144106.22688	5	1062
SRR2143630.57670	11	841
SRR2144006.23091	2	68
SRR2144089.15010	11	817
SRR2143706.16680	50	767
SRR2143536.33799	1	739
SRR2143944.31321	3	705
SRR2143744.8061	3	221
SRR2143559.25523	1	1151
SRR2143895.38580	3	951
SRR2143719.14108	2	97
SRR2143673.11645	1	34
SRR2143927.15535	1	81
SRR2143943.5087	1	47
SRR2143799.1113	1	500
SRR2143734.22614	1	0
SRR2143823.393376	14	470
SRR2143552.10810	1	3027
SRR2143698.21816	1	2
SRR2143972.9933	93	2884
SRR2143547.1283	73	3
SRR2143824.11888	1	543
SRR2143949.45511	8	1551
SRR2143576.16763	1	819
SRR2143891.1837	28	177
SRR2143742.18330	1	52
SRR2143536.12087	1	122
SRR2143969.13466	1	27
SRR2144008.74005	1	2389
SRR2143592.5248	1	28
SRR2144100.42316	2	114
SRR2143696.29000	1	259
SRR2143823.419302	2	58
SRR2143612.40150	1	0
SRR2143817.66597	1	759
SRR2143680.12696	2	16
SRR2143823.491549	1	2145
SRR2143547.90214	1	99
SRR2143566.7938	1	346
SRR2143713.27616	4	33
SRR2143983.16862	1	1
SRR2143948.12863	2	508
SRR2143547.45700	1	1285
SRR2143953.11118	2	456
SRR2143669.158429	1	326
SRR2143695.502	1	55
SRR2144115.17612	3	0
SRR2143663.7865	1	2088
SRR2144103.43614	1	137
SRR2143679.77432	1	24
SRR2143823.477196	2	15
SRR2143681.94966	3	143
SRR2144105.66011	1	1565
SRR2143885.64166	1	160
SRR2143936.33813	1	853
SRR2143823.619555	44	2346
SRR2143617.44167	1	505
SRR2144113.140858	1	527
SRR2143531.27074	1	462
SRR2143811.34885	1	1430
SRR2143813.14237	1	151
SRR2143650.23368	1	284
SRR2143823.541952	1	149
SRR2143969.40712	1	9
SRR2143692.112873	1	19
SRR2143610.29675	1	3169
SRR2143893.11066	1	984
SRR2143528.13757	1	1019
SRR2143815.9726	1	1126
SRR2144035.48825	1	401
SRR2143641.5439	1	842
SRR2143740.5482	1	714
SRR2143845.42652	1	1953
SRR2143956.26681	2	463
SRR2143722.22968	1	16
SRR2143983.49218	7	1194
SRR2143799.1123	1	23
SRR2144102.35879	5	283
SRR2143545.95442	1	756
SRR2143681.49045	4	196
SRR2143817.84757	1	2104
SRR2143701.2819	1	193
SRR2143704.73470	1	2388
SRR2143611.10335	1	21
SRR2143574.11669	51	34
SRR2143614.52462	4	1070
SRR2143717.59029	5	2344
SRR2144102.61348	1	914
SRR2143667.10891	3	555
SRR2143900.52338	120	462
SRR2143516.11081	1	59
SRR2143738.24111	2	151
SRR2143598.55621	1	1061
SRR2143884.20204	1	560
SRR2143603.92529	2	99
SRR2143566.29538	1	1089
SRR2143536.9083	1	9
SRR2143734.17752	1	661
SRR2143885.44671	1	850
SRR2143699.29973	2	354
SRR2143857.55600	1	27
SRR2143882.14791	1	27
SRR2143643.92172	1	13
SRR2144037.24340	1	3295
SRR2143638.54301	1	2565
SRR2144130.35194	1	295
SRR2144030.75611	1	1166
SRR2143701.7947	3	30
SRR2143643.98679	236	9
SRR2143619.27937	1	1718
SRR2143720.17235	8	2189
SRR2143831.73957	1	761
SRR2143596.6158	1	915
SRR2143754.206436	1	941
SRR2143709.23703	1	611
SRR2143580.65633	1	996
SRR2144109.22487	2	2282
SRR2144040.4483	1	217
SRR2144096.86388	1	10
SRR2143959.5493	61	248
SRR2143582.34952	1	22
SRR2143597.51562	95	472
SRR2143586.12886	1	629
SRR2144108.37000	1	130
SRR2143574.8907	2	108
SRR2143895.2341	1	1239
SRR2143731.31831	1	88
SRR2143607.65957	1	1214
SRR2144091.9749	1	664
SRR2144090.41377	1	3320
SRR2143761.46204	1	3
SRR2143902.76279	1	76
SRR2143882.23601	4	288
SRR2143523.41689	6	1573
SRR2143591.82467	3	32
SRR2143752.41381	1	3092
SRR2143559.1448	1	251
SRR2143677.10385	3	267
SRR2143800.55168	1	67
SRR2143973.47689	1	299
SRR2143517.28066	1	88
SRR2143640.72481	1	710
SRR2143864.54775	2	67
SRR2143969.11185	1	5
SRR2143524.1037	3	80
SRR2143959.93938	2	35
SRR2143614.18339	4	240
SRR2143846.12188	5	29
SRR2143522.34692	1	609
SRR2143545.102777	4	144
SRR2144091.9750	1	583
SRR2144015.6606	1	75
SRR2143789.9984	2	326
SRR2143792.4952	1	392
SRR2143725.62414	2	3372
SRR2144089.9428	1	218
SRR2143983.12186	1	80
SRR2144030.93847	1	25
SRR2143516.17201	1	844
SRR2143857.51235	1	94
SRR2143753.41431	1	76
SRR2143929.55396	2	2567
SRR2144102.33798	420	1832
SRR2143597.14302	1	163
SRR2143766.51028	1	2937
SRR2143838.9672	1	124
SRR2143959.99383	1	537
SRR2143862.91034	1	7
SRR2144104.29638	2	693
SRR2143659.9604	1	486
SRR2144104.15993	1	73
SRR2143701.12959	1	26
SRR2143604.87047	1	955
SRR2143860.13528	4	605
SRR2143756.53682	1	2320
SRR2143829.141	1	92
SRR2143561.7847	5	147
SRR2144121.43616	1	37
SRR2143597.63117	17	343
SRR2143864.27537	1	285
SRR2143823.556361	1	19
SRR2143823.23154	1	0
SRR2143948.45895	2	1322
SRR2143517.502	35	15
SRR2143666.26112	1	83
SRR2144006.5862	1	7
SRR2143668.38089	1	2060
SRR2143522.13473	1	423
SRR2143862.30455	1	590
SRR2143751.16012	1	164
SRR2144130.5818	1	412
SRR2143933.16871	1	19
SRR2143597.53034	1	474
SRR2143669.184824	1	80
SRR2144016.18092	1	2788
SRR2143967.34835	1	15
SRR2143978.33649	1	3
SRR2143970.15276	1	2839
SRR2144117.49932	1	1112
SRR2143554.5594	1	3
SRR2143938.14306	1	139
SRR2144113.62715	2	358
SRR2144123.21559	360	6
SRR2144035.41618	1	3468
SRR2143646.71445	3	13
SRR2143983.47580	1	71
SRR2143749.13801	1	901
SRR2144024.4510	1	218
SRR2143956.18137	1	163
SRR2143555.41093	3	78
SRR2143730.6826	1	689
SRR2143993.134724	1	153
SRR2143769.33678	5	33
SRR2143551.6570	2	7
SRR2143647.3251	1	2581
SRR2143937.8179	1	76
SRR2143794.63547	1	37
SRR2143772.12266	1	142
SRR2143617.27340	1	442
SRR2144117.13753	2	256
SRR2143819.18506	4	494
SRR2143614.14481	3	275
SRR2143939.18740	1	897
SRR2143948.105826	2	565
SRR2144090.66782	1	3308
SRR2144072.11813	1	527
SRR2143859.10381	1	537
SRR2143948.103347	2	2248
SRR2144096.3238	1	15
SRR2143821.43595	1	2772
SRR2143547.65358	1	2432
SRR2143617.27341	1	899
SRR2143967.18080	1	810
SRR2143545.37285	2	264
SRR2144030.34412	1	177
SRR2143933.22273	1	728
SRR2143760.3230	1	560
SRR2143686.152421	1	201
SRR2143823.500208	1	1240
SRR2144105.87376	2	2728
SRR2143863.38353	3	2389
SRR2143633.29470	1	144
SRR2143999.27603	2	2315
SRR2143739.12841	2	24
SRR2143596.17434	1	2141
SRR2144131.5361	2	0
SRR2143601.22367	1	763
SRR2143705.13454	1	67
SRR2144073.27088	1	2705
SRR2144104.10127	3	101
SRR2143608.5452	1	252
SRR2143911.31523	1	2123
SRR2143854.26253	3	313
SRR2143727.16918	2	52
SRR2143575.52556	1	286
SRR2143826.4542	1	726
SRR2143778.11641	2	276
SRR2143897.13244	1	1173
SRR2143531.27029	1	55
SRR2143924.19027	1	2130
