label	cutoff	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	sec	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	dataset	ref	region	seed	method	printref	tool	mem_mb	mem_gb	strategy	numotus	fraction_mapped	ref_weight	ref_frac	sample_frac	criteria	num_ref_seqs	num_sample_seqs	num_total_seqs	n_gaps	total_chars	check_split_passed	sobs	num_otus
0.03	0.03	34003300	8683500000	3260570	6619130	0.837057	0.999625	0.9125	0.999238	0.9125	0.998868	0.873404	0.873152	418.0754	00:06:58	3783.13	3939.26	3780.61	3780.91	1690.92	2.28	0	human	NA	NA	11	de_novo	NA	mothur	3783.13	3.694462890625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	33999700	8683500000	3257920	6622720	0.836969	0.999625	0.912557	0.999238	0.912557	0.998868	0.873385	0.87313	415.8065	00:06:55	3782.33	3939.26	3779.15	3779.61	3.46	2.29	0	human	NA	NA	12	de_novo	NA	mothur	3782.33	3.693681640625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34705300	8682920000	3841780	5917140	0.854338	0.999558	0.900335	0.999319	0.900335	0.998882	0.876477	0.876734	420.6665	00:07:00	3783.14	3939.26	3780.61	3780.89	1690.92	2.28	0	human	NA	NA	13	de_novo	NA	mothur	3783.14	3.69447265625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34731700	8682900000	3865120	5890710	0.854989	0.999555	0.899859	0.999322	0.899859	0.998882	0.876578	0.87685	1223.3144	00:20:23	3782.22	3939.26	3779.64	3779.95	1687.95	2.28	0	human	NA	NA	14	de_novo	NA	mothur	3782.22	3.69357421875	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34678300	8682960000	3801970	5944160	0.853673	0.999562	0.901197	0.999316	0.901197	0.998883	0.876555	0.876791	545.8556	00:09:05	3783.15	3939.26	3780.57	3780.83	1690.92	2.29	0	human	NA	NA	15	de_novo	NA	mothur	3783.15	3.694482421875	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34659200	8682980000	3780200	5963280	0.853202	0.999565	0.901658	0.999314	0.901658	0.998884	0.876538	0.876761	441.0806	00:07:21	3783.09	3939.26	3779.62	3780.2	9.73	2.28	0	human	NA	NA	16	de_novo	NA	mothur	3783.09	3.694423828125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	33881100	8683640000	3121280	6741350	0.834049	0.999641	0.915647	0.999224	0.915647	0.99887	0.873337	0.872945	413.1905	00:06:53	3782.08	3939.26	3779.21	3779.52	1682.19	2.29	0	human	NA	NA	17	de_novo	NA	mothur	3782.08	3.6934375	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	33876400	8683650000	3116730	6746030	0.833933	0.999641	0.915749	0.999224	0.915749	0.99887	0.873326	0.872928	444.2793	00:07:24	3783.1	3939.26	3779.39	3780.04	1687.79	2.28	0	human	NA	NA	18	de_novo	NA	mothur	3783.1	3.69443359375	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34002700	8683500000	3262890	6619750	0.837042	0.999624	0.912442	0.999238	0.912442	0.998868	0.873368	0.873117	417.1824	00:06:57	3782.09	3939.26	3779.3	3779.58	221.08	2.28	0	human	NA	NA	19	de_novo	NA	mothur	3782.09	3.693447265625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34699300	8682940000	3826960	5923100	0.854191	0.999559	0.900666	0.999318	0.900666	0.998883	0.876563	0.876813	610.0271	00:10:10	3782.86	3939.26	3780.34	3780.69	1688.28	2.28	0	human	NA	NA	20	de_novo	NA	mothur	3782.86	3.69419921875	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34706800	8682930000	3834910	5915640	0.854375	0.999559	0.9005	0.999319	0.9005	0.998883	0.876576	0.876831	418.0312	00:06:58	3783.13	3939.26	3780.59	3781.12	1690.92	2.28	0	human	NA	NA	21	de_novo	NA	mothur	3783.13	3.694462890625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34711400	8682920000	3839130	5911080	0.854487	0.999558	0.900413	0.99932	0.900413	0.998883	0.876591	0.876849	415.2814	00:06:55	3783.09	3939.26	3780.55	3780.86	1690.92	2.28	0	human	NA	NA	22	de_novo	NA	mothur	3783.09	3.694423828125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34713500	8682920000	3840830	5908930	0.85454	0.999558	0.900379	0.99932	0.900379	0.998883	0.876602	0.876861	503.1111	00:08:23	3782.39	3939.26	3779.22	3779.64	5.52	2.29	0	human	NA	NA	23	de_novo	NA	mothur	3782.39	3.693740234375	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	33897200	8683620000	3140660	6725190	0.834446	0.999638	0.915204	0.999226	0.915204	0.99887	0.873334	0.872962	512.1587	00:08:32	3782.96	3939.26	3779.55	3780.03	9.08	2.29	0	human	NA	NA	24	de_novo	NA	mothur	3782.96	3.694296875	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34731100	8682880000	3881930	5891300	0.854974	0.999553	0.899466	0.999322	0.899466	0.99888	0.876378	0.876656	463.8394	00:07:43	3782.55	3939.26	3779.24	3779.65	1688.14	0.05	0	human	NA	NA	25	de_novo	NA	mothur	3782.55	3.693896484375	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34716500	8682910000	3847440	5905970	0.854613	0.999557	0.900232	0.99932	0.900232	0.998882	0.876568	0.87683	461.2479	00:07:41	3783.09	3939.26	3779.78	3779.99	12.29	0.05	0	human	NA	NA	26	de_novo	NA	mothur	3783.09	3.694423828125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	33902600	8683620000	3147240	6719870	0.834577	0.999638	0.915054	0.999227	0.915054	0.998869	0.873331	0.872965	418.0653	00:06:58	3783.09	3939.26	3780.51	3780.73	1691.03	2.28	0	human	NA	NA	27	de_novo	NA	mothur	3783.09	3.694423828125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	33996500	8683510000	3254410	6625960	0.836889	0.999625	0.912635	0.999238	0.912635	0.998868	0.873381	0.873123	436.5826	00:07:16	3783.09	3939.26	3779.6	3780.12	8.64	0.05	0	human	NA	NA	28	de_novo	NA	mothur	3783.09	3.694423828125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34709500	8682930000	3835270	5912900	0.854442	0.999558	0.900498	0.999319	0.900498	0.998883	0.87661	0.876866	477.1925	00:07:57	3782.56	3939.26	3779.41	3779.88	6.23	2.28	0	human	NA	NA	29	de_novo	NA	mothur	3782.56	3.69390625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	33994500	8683500000	3257620	6627910	0.836841	0.999625	0.912552	0.999237	0.912552	0.998867	0.873316	0.873058	438.042	00:07:18	3783.1	3939.26	3780.56	3780.88	1690.92	2.28	0	human	NA	NA	30	de_novo	NA	mothur	3783.1	3.69443359375	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34719000	8682910000	3849680	5903470	0.854675	0.999557	0.900186	0.999321	0.900186	0.998882	0.876577	0.87684	541.1072	00:09:01	3782.41	3939.26	3779.24	3779.64	1685.14	2.28	0	human	NA	NA	31	de_novo	NA	mothur	3782.41	3.693759765625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34002100	8683500000	3264580	6620360	0.837027	0.999624	0.912399	0.999238	0.912399	0.998867	0.87334	0.87309	422.4884	00:07:02	3782.3	3939.26	3779.79	3780.1	1690.01	2.28	0	human	NA	NA	32	de_novo	NA	mothur	3782.3	3.69365234375	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34749500	8682870000	3894130	5872970	0.855426	0.999552	0.89923	0.999324	0.89923	0.998881	0.876495	0.876781	435.2551	00:07:15	3782.28	3939.26	3779.15	3779.71	1044.67	0.05	0	human	NA	NA	33	de_novo	NA	mothur	3782.28	3.6936328125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34658000	8682970000	3788290	5964450	0.853173	0.999564	0.901465	0.999314	0.901465	0.998883	0.876429	0.876655	421.98630000000003	00:07:01	3783.14	3939.26	3780.58	3780.84	1690.92	2.28	0	human	NA	NA	34	de_novo	NA	mothur	3783.14	3.69447265625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34689900	8682950000	3817120	5932540	0.853959	0.999561	0.900872	0.999317	0.900872	0.998883	0.876544	0.876788	411.7586	00:06:51	3783.09	3939.26	3779.23	3780.2	1522.98	2.28	0	human	NA	NA	35	de_novo	NA	mothur	3783.09	3.694423828125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34720300	8682910000	3849510	5902150	0.854707	0.999557	0.900194	0.999321	0.900194	0.998883	0.876597	0.876861	434.0963	00:07:14	3782.57	3939.26	3779.16	3779.67	5.41	0.05	0	human	NA	NA	36	de_novo	NA	mothur	3782.57	3.693916015625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34717200	8682920000	3845700	5905220	0.854632	0.999557	0.900275	0.99932	0.900275	0.998883	0.876598	0.87686	450.9436	00:07:30	3783.03	3939.26	3779.21	3779.74	1688.38	2.28	0	human	NA	NA	37	de_novo	NA	mothur	3783.03	3.694365234375	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	33869200	8683650000	3109180	6753230	0.833756	0.999642	0.915919	0.999223	0.915919	0.99887	0.873314	0.872908	457.2739	00:07:37	3783.09	3939.26	3780.18	3780.67	11.9	2.28	0	human	NA	NA	38	de_novo	NA	mothur	3783.09	3.694423828125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34701200	8682940000	3826780	5921230	0.854237	0.999559	0.900675	0.999319	0.900675	0.998883	0.876591	0.876842	474.7467	00:07:54	3783.09	3939.26	3780.52	3780.69	1690.93	2.29	0	human	NA	NA	39	de_novo	NA	mothur	3783.09	3.694423828125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34713200	8682900000	3861340	5909250	0.854532	0.999555	0.899899	0.99932	0.899899	0.99888	0.876363	0.876629	444.2726	00:07:24	3782.18	3939.26	3779.22	3779.48	1686.55	2.28	0	human	NA	NA	40	de_novo	NA	mothur	3782.18	3.69353515625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	33986700	8683510000	3247510	6635750	0.836648	0.999626	0.912782	0.999236	0.912782	0.998868	0.873325	0.873058	467.4282	00:07:47	3782.32	3939.26	3779.15	3779.7	17.68	2.28	0	human	NA	NA	41	de_novo	NA	mothur	3782.32	3.693671875	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34710600	8682930000	3836550	5911860	0.854468	0.999558	0.900471	0.99932	0.900471	0.998883	0.87661	0.876867	422.2264	00:07:02	3782.15	3939.26	3779.3	3779.65	1686.59	2.28	0	human	NA	NA	42	de_novo	NA	mothur	3782.15	3.693505859375	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34673900	8682960000	3802170	5948520	0.853566	0.999562	0.901181	0.999315	0.901181	0.998883	0.876492	0.876727	538.9832	00:08:58	3782.72	3939.26	3780.15	3780.54	1689.73	2.28	0	human	NA	NA	43	de_novo	NA	mothur	3782.72	3.6940625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	33989000	8683520000	3246380	6633400	0.836706	0.999626	0.912815	0.999237	0.912815	0.998868	0.873372	0.873105	491.949	00:08:11	3782.06	3939.26	3779.48	3779.79	1686.74	0.06	0	human	NA	NA	44	de_novo	NA	mothur	3782.06	3.69341796875	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34004300	8683500000	3262110	6618140	0.837082	0.999624	0.912465	0.999238	0.912465	0.998868	0.8734	0.873149	416.5685	00:06:56	3783.09	3939.26	3780.59	3781.11	1690.92	2.28	0	human	NA	NA	45	de_novo	NA	mothur	3783.09	3.694423828125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34700500	8682930000	3835520	5921920	0.85422	0.999558	0.900469	0.999318	0.900469	0.998882	0.876481	0.876735	531.3991	00:08:51	3782.5	3939.26	3779.25	3779.78	1686.2	2.28	0	human	NA	NA	46	de_novo	NA	mothur	3782.5	3.69384765625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34685100	8682950000	3811080	5937320	0.853841	0.999561	0.901001	0.999317	0.901001	0.998883	0.876546	0.876788	530.5339	00:08:50	3783.09	3939.26	3780.55	3780.87	1690.92	2.28	0	human	NA	NA	47	de_novo	NA	mothur	3783.09	3.694423828125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34725400	8682900000	3864170	5897050	0.854833	0.999555	0.899865	0.999321	0.899865	0.998882	0.876501	0.876771	563.2817	00:09:23	3782.3	3939.26	3779.77	3780.01	812.94	2.28	0	human	NA	NA	48	de_novo	NA	mothur	3782.3	3.69365234375	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34720100	8682910000	3851350	5902380	0.854702	0.999557	0.90015	0.999321	0.90015	0.998882	0.876573	0.876837	420.0768	00:07:00	3782.2	3939.26	3779.49	3779.84	1686.29	2.28	0	human	NA	NA	49	de_novo	NA	mothur	3782.2	3.6935546875	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	33902000	8683620000	3144460	6720460	0.834563	0.999638	0.915121	0.999227	0.915121	0.99887	0.873356	0.872988	472.0286	00:07:52	3782.16	3939.26	3779.49	3779.96	967.54	2.3	0	human	NA	NA	50	de_novo	NA	mothur	3782.16	3.693515625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34721500	8682910000	3855570	5900920	0.854737	0.999556	0.900055	0.999321	0.900055	0.998882	0.876545	0.876811	458.396	00:07:38	3782.42	3939.26	3779.9	3780.19	1691.65	2.28	0	human	NA	NA	51	de_novo	NA	mothur	3782.42	3.69376953125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	33864500	8683660000	3103060	6757980	0.833639	0.999643	0.91606	0.999222	0.91606	0.99887	0.87332	0.872908	598.876	00:09:58	3783.1	3939.26	3780.56	3780.88	1690.92	2.3	0	human	NA	NA	52	de_novo	NA	mothur	3783.1	3.69443359375	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34665600	8682980000	3786930	5956860	0.85336	0.999564	0.901517	0.999314	0.901517	0.998884	0.876551	0.876778	426.3951	00:07:06	3782.34	3939.26	3779.23	3779.77	644.72	2.28	0	human	NA	NA	53	de_novo	NA	mothur	3782.34	3.69369140625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34728200	8682900000	3860800	5894280	0.854901	0.999556	0.899951	0.999322	0.899951	0.998882	0.876578	0.876848	504.7052	00:08:24	3782.66	3939.26	3780.14	3780.51	1688.06	2.29	0	human	NA	NA	54	de_novo	NA	mothur	3782.66	3.69400390625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	33993600	8683500000	3260680	6628870	0.836817	0.999625	0.912475	0.999237	0.912475	0.998867	0.873267	0.87301	474.4191	00:07:54	3782.13	3939.26	3779.56	3779.83	1687.96	2.29	0	human	NA	NA	55	de_novo	NA	mothur	3782.13	3.693486328125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34693800	8682930000	3829790	5928600	0.854056	0.999559	0.900586	0.999318	0.900586	0.998882	0.876454	0.876704	416.9687	00:06:56	3782.2	3939.26	3779.66	3779.97	1686.48	2.28	0	human	NA	NA	56	de_novo	NA	mothur	3782.2	3.6935546875	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	33880400	8683640000	3122830	6742060	0.834031	0.999641	0.915607	0.999224	0.915607	0.99887	0.873309	0.872917	416.0053	00:06:56	3783.09	3939.26	3780.55	3780.95	1690.92	2.29	0	human	NA	NA	57	de_novo	NA	mothur	3783.09	3.694423828125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34645500	8683000000	3765350	5976890	0.852867	0.999567	0.901972	0.999312	0.901972	0.998884	0.876519	0.876732	416.3092	00:06:56	3783.06	3939.26	3779.16	3779.81	1671.62	2.28	0	human	NA	NA	58	de_novo	NA	mothur	3783.06	3.69439453125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34705900	8682930000	3833480	5916520	0.854353	0.999559	0.900531	0.999319	0.900531	0.998883	0.87658	0.876835	470.4629	00:07:50	3783.1	3939.26	3780.56	3780.8	1690.92	2.29	0	human	NA	NA	59	de_novo	NA	mothur	3783.1	3.69443359375	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34668800	8682970000	3797340	5953670	0.853439	0.999563	0.901281	0.999315	0.901281	0.998883	0.876476	0.876708	492.1464	00:08:12	3783.09	3939.26	3780.52	3780.7	1690.93	0.05	0	human	NA	NA	60	de_novo	NA	mothur	3783.09	3.694423828125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34686700	8682940000	3818710	5935780	0.853879	0.99956	0.900826	0.999317	0.900826	0.998882	0.876481	0.876725	472.7485	00:07:52	3783.09	3939.26	3780.51	3780.71	1690.92	2.29	0	human	NA	NA	61	de_novo	NA	mothur	3783.09	3.694423828125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34731300	8682900000	3865760	5891110	0.854979	0.999555	0.899843	0.999322	0.899843	0.998882	0.876566	0.876838	426.5968	00:07:06	3783.14	3939.26	3779.21	3780.03	1681.85	2.28	0	human	NA	NA	62	de_novo	NA	mothur	3783.14	3.69447265625	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34675800	8682960000	3803930	5946630	0.853612	0.999562	0.901145	0.999316	0.901145	0.998883	0.876498	0.876735	506.6996	00:08:26	3782.24	3939.26	3779.16	3779.56	1687.33	2.28	0	human	NA	NA	63	de_novo	NA	mothur	3782.24	3.69359375	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34713800	8682920000	3842000	5908670	0.854547	0.999558	0.900352	0.99932	0.900352	0.998883	0.876592	0.876852	477.3189	00:07:57	3783.09	3939.26	3780.55	3780.83	1690.93	2.28	0	human	NA	NA	64	de_novo	NA	mothur	3783.09	3.694423828125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34710900	8682920000	3837830	5911540	0.854476	0.999558	0.900442	0.99932	0.900442	0.998883	0.8766	0.876857	425.7131	00:07:05	3783.15	3939.26	3780.59	3780.85	1690.92	2.28	0	human	NA	NA	65	de_novo	NA	mothur	3783.15	3.694482421875	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34003500	8683500000	3262380	6618950	0.837062	0.999624	0.912457	0.999238	0.912457	0.998868	0.873386	0.873135	534.0488	00:08:54	3782.61	3939.26	3780.07	3780.53	1690.24	2.29	0	human	NA	NA	66	de_novo	NA	mothur	3782.61	3.693955078125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34720300	8682910000	3849850	5902130	0.854708	0.999557	0.900186	0.999321	0.900186	0.998883	0.876594	0.876857	538.2159	00:08:58	3782.08	3939.26	3779.2	3779.58	7.34	2.28	0	human	NA	NA	67	de_novo	NA	mothur	3782.08	3.6934375	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	33887900	8683630000	3131610	6734510	0.834217	0.99963900000000006	0.915407	0.999225	0.915407	0.99887	0.873311	0.872928	524.3752	00:08:44	3782.96	3939.26	3779.97	3780.24	8.93	0.05	0	human	NA	NA	68	de_novo	NA	mothur	3782.96	3.694296875	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34679800	8682960000	3806840	5942590	0.853712	0.999562	0.901087	0.999316	0.901087	0.998883	0.876521	0.87676	470.8529	00:07:50	3782.32	3939.26	3779.15	3779.7	1670.83	2.28	0	human	NA	NA	69	de_novo	NA	mothur	3782.32	3.693671875	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34710500	8682920000	3839650	5911910	0.854467	0.999558	0.900399	0.99932	0.900399	0.998883	0.876574	0.876832	441.8056	00:07:21	3782.07	3939.26	3779.58	3780.09	1689	2.28	0	human	NA	NA	70	de_novo	NA	mothur	3782.07	3.693427734375	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34709300	8682920000	3837610	5913130	0.854437	0.999558	0.900443	0.999319	0.900443	0.998883	0.87658	0.876837	510.1353	00:08:30	3782.3	3939.26	3779.29	3779.68	1687.92	2.28	0	human	NA	NA	71	de_novo	NA	mothur	3782.3	3.69365234375	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.03	0.03	34742700	8682880000	3878130	5879720	0.855259	0.999554	0.899584	0.999323	0.899584	0.998882	0.876583	0.876862	430.5215	00:07:10	3783.09	3939.26	3780.52	3780.83	1690.92	0.05	0	human	NA	NA	72	de_novo	NA	mothur	3783.09	3.694423828125	de_novo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
